"Title","Consent for organ donation"
"Location","UK"
"Time period","2017/18"
"Data source","Organ Donation and Transplantation data for Black, Asian and Minority Ethnic (BAME) communities"
"Data source link","https://www.odt.nhs.uk/statistics-and-reports/annual-activity-report/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","18/07/2018"

"Ethnicity","Number approached","Number who consented","% consented"
"All","3,329","2,181","66"
"White","2,874","1,983","69"
"Other","347","145","42"
"Unknown","108","53","49"
