"","White British","","","Other than White British","",""
"Socio-economic group","%","Private renters ('000s)","All households ('000s)","%","Private renters ('000s)","All households ('000s)"
"Higher managerial, administrative and professional occupations","14","1,112","7,758","38","586","1,531"
"Intermediate occupations","16","623","3,850","38","297","775"
"Routine and manual occupations","18","1,082","6,111","41","567","1,383"
