"Title","Households renting from a private landlord by ethnicity"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","%","Private renters ('000s)","All households ('000s)"
"Asian","","",""
"Bangladeshi","21","29","135"
"Chinese","53","58","110"
"Indian","23","120","524"
"Pakistani","32","116","361"
"Asian other","46","95","204"
"Black","","",""
"Black African","33","132","406"
"Black Caribbean","18","54","298"
"Black other","24","7","29"
"Mixed","","",""
"Mixed White/Asian","17","9","57"
"Mixed White/Black African","31","27","90"
"Mixed White/Black Caribbean","34","31","93"
"Mixed other","22","11","48"
"White","","",""
"White British","16","3,011","18,816"
"White Irish","20","37","183"
"White Gypsy/Traveller","?","?","?"
"White other","59","717","1,217"
"Other","","",""
"Arab","39","29","74"
"Any other","46","119","258"
