"Title","Children and family social workers by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Children's social work workforce 2017"
"Data source link","https://www.gov.uk/government/statistics/childrens-social-work-workforce-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","15/02/2018"

"Ethnicity","%","Number"
"All","100.0","30,670"
"Asian","5.2","1,300"
"Bangladeshi","0.6","140"
"Indian","2.6","660"
"Pakistani","1.3","330"
"Asian other","0.7","170"
"Black","10.6","2,670"
"Black African","4.4","1,100"
"Black Caribbean","4.5","1,130"
"Black other","1.7","440"
"Chinese and other","1.1","280"
"Chinese","0.1","30"
"Any other","1.0","250"
"Mixed","3.1","780"
"Mixed White/Asian","0.5","130"
"Mixed White/Black African","0.6","140"
"Mixed White/Black Caribbean","1.2","290"
"Mixed other","0.9","220"
"White","80.0","20,160"
"White British","73.1","18,420"
"White Irish","1.6","390"
"White other","5.3","1,350"
"Unknown","N/A","5,470"
