"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","80","84","85","!","83","76"
"Barnet","85","89","83","94","88","85"
"Barnsley","78","75","74","!","86","78"
"Bath and North East Somerset","79","91","47","50","74","80"
"Bedford","77","81","85","100","79","76"
"Bexley","85","92","89","!","88","82"
"Birmingham","80","84","81","85","80","78"
"Blackburn with Darwen","81","85","82","!","91","79"
"Blackpool","80","86","50","100","82","81"
"Bolton","81","87","73","!","88","81"
"Bournemouth","84","89","86","!","86","83"
"Bracknell Forest","85","88","86","!","92","84"
"Bradford","80","83","79","!","79","78"
"Brent","81","85","82","!","83","80"
"Brighton and Hove","78","78","83","81","81","78"
"Bristol, City of","81","85","74","!","81","81"
"Bromley","88","94","84","95","88","88"
"Buckinghamshire","82","82","87","100","84","82"
"Bury","81","79","75","71","82","82"
"Calderdale","80","82","84","100","83","80"
"Cambridgeshire","80","86","73","91","83","80"
"Camden","82","81","79","87","82","83"
"Central Bedfordshire","82","92","82","!","83","82"
"Cheshire East","83","84","!","100","84","84"
"Cheshire West and Chester","81","84","67","!","83","81"
"City of London","!","!","!","!","!","!"
"Cornwall","79","!","!","!","81","79"
"County Durham","83","84","71","80","83","83"
"Coventry","79","86","83","!","81","77"
"Croydon","82","88","83","!","82","80"
"Cumbria","79","!","!","73","81","79"
"Darlington","85","92","100","!","!","85"
"Derby","80","80","81","80","84","80"
"Derbyshire","80","84","86","84","81","80"
"Devon","83","85","77","83","84","83"
"Doncaster","78","78","76","!","84","78"
"Dorset","81","81","50","100","80","81"
"Dudley","79","79","78","!","80","79"
"Ealing","83","86","80","!","83","85"
"East Riding of Yorkshire","82","100","!","!","87","82"
"East Sussex","80","85","87","!","80","80"
"Enfield","80","88","80","!","85","78"
"Essex","82","90","84","82","83","82"
"Gateshead","83","91","90","!","92","83"
"Gloucestershire","79","89","79","100","82","79"
"Greenwich","84","89","88","93","83","81"
"Hackney","86","89","85","85","86","85"
"Halton","79","100","!","N/A","81","79"
"Hammersmith and Fulham","86","93","83","100","89","86"
"Hampshire","82","85","83","93","83","82"
"Haringey","83","88","83","91","89","83"
"Harrow","87","91","82","!","89","83"
"Hartlepool","82","86","!","100","76","82"
"Havering","85","92","85","!","86","85"
"Herefordshire, County of","84","!","!","!","83","84"
"Hertfordshire","83","89","84","93","82","83"
"Hillingdon","83","88","85","!","86","79"
"Hounslow","84","88","80","!","90","83"
"Isle of Wight","76","!","N/A","!","85","75"
"Isles of Scilly","!","!","!","!","!","!"
"Islington","82","86","78","100","82","82"
"Kensington and Chelsea","86","89","79","!","90","90"
"Kent","82","89","89","84","86","82"
"Kingston upon Hull, City of","77","84","74","100","73","78"
"Kingston upon Thames","84","87","67","91","88","84"
"Kirklees","79","80","78","75","76","79"
"Knowsley","78","78","!","100","80","77"
"Lambeth","84","84","82","83","86","86"
"Lancashire","81","81","80","86","84","81"
"Leeds","77","79","76","81","76","78"
"Leicester","80","85","82","83","77","76"
"Leicestershire","82","89","90","83","80","81"
"Lewisham","81","85","79","82","80","83"
"Lincolnshire","82","90","!","76","85","82"
"Liverpool","76","82","80","81","77","76"
"Luton","78","79","83","60","79","78"
"Manchester","79","80","83","95","79","78"
"Medway","82","89","92","100","82","81"
"Merton","84","88","84","85","83","84"
"Middlesbrough","76","80","83","!","81","77"
"Milton Keynes","82","90","83","!","86","80"
"Newcastle upon Tyne","82","82","81","85","82","82"
"Newham","88","90","88","87","88","85"
"Norfolk","78","87","77","89","80","78"
"North East Lincolnshire","79","!","!","100","75","80"
"North Lincolnshire","80","85","57","!","92","80"
"North Somerset","82","81","67","100","82","82"
"North Tyneside","81","81","79","100","81","81"
"North Yorkshire","81","83","73","50","85","81"
"Northamptonshire","81","84","79","91","80","81"
"Northumberland","85","90","100","100","93","85"
"Nottingham","79","85","83","!","79","77"
"Nottinghamshire","79","86","86","88","81","79"
"Oldham","77","76","79","67","80","78"
"Oxfordshire","81","81","81","!","80","82"
"Peterborough","75","78","84","75","81","75"
"Plymouth","80","87","90","!","80","80"
"Poole","85","92","!","!","84","85"
"Portsmouth","77","82","86","!","87","77"
"Reading","80","88","83","79","80","78"
"Redbridge","83","88","81","!","81","78"
"Redcar and Cleveland","81","100","!","!","89","81"
"Richmond upon Thames","89","92","84","86","91","89"
"Rochdale","81","86","76","100","76","81"
"Rotherham","79","85","74","!","81","79"
"Rutland","83","!","100","N/A","!","83"
"Salford","79","88","89","!","82","79"
"Sandwell","79","82","81","!","78","77"
"Sefton","80","73","!","100","83","80"
"Sheffield","77","79","78","79","77","77"
"Shropshire","82","88","!","!","82","82"
"Slough","84","90","81","100","84","77"
"Solihull","85","85","76","100","85","85"
"Somerset","79","81","77","73","82","79"
"South Gloucestershire","83","93","90","100","84","83"
"South Tyneside","83","78","!","!","87","84"
"Southampton","82","89","85","!","82","81"
"Southend-on-Sea","82","83","86","100","84","81"
"Southwark","84","85","84","90","86","85"
"St. Helens","79","83","!","100","78","79"
"Staffordshire","83","83","83","91","84","83"
"Stockport","82","80","82","!","77","82"
"Stockton-on-Tees","83","81","84","!","80","83"
"Stoke-on-Trent","79","83","84","82","85","79"
"Suffolk","80","84","86","100","80","80"
"Sunderland","83","82","!","80","79","83"
"Surrey","83","86","82","92","87","83"
"Sutton","84","92","89","!","80","82"
"Swindon","81","82","89","!","83","81"
"Tameside","79","79","78","!","88","79"
"Telford and Wrekin","82","91","79","100","81","82"
"Thurrock","84","91","92","100","84","82"
"Torbay","84","100","!","!","76","84"
"Tower Hamlets","82","84","84","!","82","78"
"Trafford","83","81","72","88","80","85"
"Wakefield","78","82","76","83","75","78"
"Walsall","80","85","86","!","80","79"
"Waltham Forest","84","87","80","91","87","84"
"Wandsworth","86","85","84","100","82","88"
"Warrington","81","88","!","!","79","81"
"Warwickshire","82","89","83","100","86","82"
"West Berkshire","78","89","85","!","78","78"
"West Sussex","80","84","80","!","82","80"
"Westminster","87","92","86","88","90","87"
"Wigan","83","86","73","!","87","84"
"Wiltshire","81","87","80","70","83","81"
"Windsor and Maidenhead","84","84","81","100","89","84"
"Wirral","76","84","100","!","84","76"
"Wokingham","83","88","85","100","85","82"
"Wolverhampton","79","86","85","!","79","77"
"Worcestershire","81","78","81","75","85","81"
"York","84","89","!","70","84","84"
