"Title","Phonics attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments: England 2016"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","All","Asian","Chinese","Black","Mixed","White"
"Local authority","%","%","%","%","%","%"
"County Durham","82","83","!","!","77","82"
"Darlington","86","76","100","100","!","86"
"Gateshead","80","74","!","75","87","80"
"Hartlepool","85","!","100","100","73","85"
"Middlesbrough","74","81","!","88","72","74"
"Newcastle upon Tyne","81","82","78","88","86","81"
"North Tyneside","81","71","77","73","92","81"
"Northumberland","84","!","!","!","87","84"
"Redcar and Cleveland","82","!","!","!","89","82"
"South Tyneside","81","84","!","!","91","81"
"Stockton-on-Tees","83","84","!","89","77","84"
"Sunderland","81","77","!","86","88","81"
"Blackburn with Darwen","81","86","!","67","94","77"
"Blackpool","80","80","100","!","91","80"
"Bolton","80","87","100","77","85","79"
"Bury","82","79","100","84","86","83"
"Cheshire East","82","89","100","!","84","83"
"Cheshire West and Chester","79","78","67","!","83","80"
"Cumbria","77","73","!","!","76","77"
"Halton","76","!","!","!","76","76"
"Knowsley","78","!","100","67","66","78"
"Lancashire","81","79","86","83","82","81"
"Liverpool","75","74","82","79","76","76"
"Manchester","78","80","90","84","79","78"
"Oldham","76","76","!","69","82","78"
"Rochdale","82","82","100","84","86","83"
"Salford","79","84","100","83","85","79"
"Sefton","78","86","!","77","78","78"
"St. Helens","78","!","76","!","80","79"
"Stockport","82","79","83","79","81","82"
"Tameside","77","82","79","74","78","77"
"Trafford","85","82","93","77","81","87"
"Warrington","83","93","!","!","89","83"
"Wigan","83","79","77","77","91","83"
"Wirral","80","77","75","!","82","80"
"Barnsley","79","!","!","85","80","79"
"Bradford","79","82","!","82","76","78"
"Calderdale","82","82","!","!","81","82"
"Doncaster","78","81","!","88","78","77"
"East Riding of Yorkshire","81","88","!","!","86","81"
"Kingston upon Hull, City of","77","80","100","68","81","77"
"Kirklees","78","80","!","73","78","78"
"Leeds","77","79","86","75","75","77"
"North East Lincolnshire","80","!","100","100","87","79"
"North Lincolnshire","83","86","!","69","82","83"
"North Yorkshire","78","78","100","74","83","78"
"Rotherham","79","81","81","82","81","79"
"Sheffield","77","78","81","77","78","78"
"Wakefield","77","83","83","79","85","76"
"York","82","86","63","!","86","82"
"Derby","78","84","81","84","75","78"
"Derbyshire","79","84","80","86","80","79"
"Leicester","77","83","69","80","79","71"
"Leicestershire","80","86","85","90","81","80"
"Lincolnshire","83","90","!","!","83","83"
"Northamptonshire","81","83","87","83","83","81"
"Nottingham","75","80","84","80","78","74"
"Nottinghamshire","77","84","80","80","81","77"
"Rutland","86","!","!","100","!","85"
"Birmingham","79","82","89","81","81","78"
"Coventry","79","83","!","85","80","77"
"Dudley","79","82","!","78","78","79"
"Herefordshire, County of","81","!","!","!","84","81"
"Sandwell","79","83","!","80","79","78"
"Shropshire","81","!","!","!","85","81"
"Solihull","84","90","!","78","84","83"
"Staffordshire","83","91","87","85","85","83"
"Stoke-on-Trent","80","84","82","74","83","80"
"Telford and Wrekin","84","86","!","93","87","84"
"Walsall","82","87","!","84","83","82"
"Warwickshire","82","85","!","94","81","82"
"Wolverhampton","79","86","!","80","79","77"
"Worcestershire","81","80","!","76","85","81"
"Bedford","75","79","!","76","73","75"
"Cambridgeshire","78","81","89","78","80","78"
"Central Bedfordshire","81","90","100","90","86","80"
"Essex","81","91","88","86","83","81"
"Hertfordshire","83","87","!","80","84","82"
"Luton","78","81","75","82","76","77"
"Norfolk","78","84","90","79","76","78"
"Peterborough","77","82","!","77","79","75"
"Southend-on-Sea","80","84","!","83","80","80"
"Suffolk","79","86","!","85","78","79"
"Thurrock","83","92","!","90","85","81"
"Camden","80","81","!","81","83","80"
"City of London","!","!","!","!","!","!"
"Hackney","85","89","87","84","85","86"
"Hammersmith and Fulham","85","91","100","83","86","86"
"Haringey","82","84","80","83","88","82"
"Islington","80","75","100","79","81","81"
"Kensington and Chelsea","87","81","!","87","85","88"
"Lambeth","84","88","86","83","85","85"
"Lewisham","83","86","86","83","83","84"
"Newham","87","90","88","88","89","84"
"Southwark","82","84","84","83","84","84"
"Tower Hamlets","81","83","!","79","79","77"
"Wandsworth","85","88","84","82","83","87"
"Westminster","88","90","!","89","88","88"
"Barking and Dagenham","81","87","!","84","79","77"
"Barnet","81","84","92","81","83","83"
"Bexley","85","92","93","90","84","82"
"Brent","82","84","!","81","83","83"
"Bromley","86","92","86","87","86","85"
"Croydon","79","86","!","79","80","78"
"Ealing","82","85","!","76","84","84"
"Enfield","79","91","!","79","82","76"
"Greenwich","84","86","92","87","89","82"
"Harrow","84","88","100","82","88","79"
"Havering","85","89","100","85","86","84"
"Hillingdon","83","88","!","85","86","79"
"Hounslow","84","88","!","80","86","83"
"Kingston upon Thames","87","90","!","87","85","87"
"Merton","80","84","85","83","81","78"
"Redbridge","80","86","86","79","79","75"
"Richmond upon Thames","89","93","90","86","90","89"
"Sutton","82","89","!","85","82","81"
"Waltham Forest","83","86","80","85","84","82"
"Bracknell Forest","84","92","!","93","86","83"
"Brighton and Hove","79","81","81","83","81","80"
"Buckinghamshire","81","77","!","76","81","82"
"East Sussex","81","85","!","78","82","81"
"Hampshire","81","85","85","81","87","81"
"Isle of Wight","76","!","!","!","80","76"
"Kent","82","88","93","89","86","81"
"Medway","82","88","!","89","88","81"
"Milton Keynes","81","87","81","85","85","78"
"Oxfordshire","80","80","!","83","81","80"
"Portsmouth","81","84","!","83","87","81"
"Reading","79","84","100","84","80","77"
"Slough","81","87","!","80","78","75"
"Southampton","82","85","100","83","85","81"
"Surrey","82","86","84","84","86","82"
"West Berkshire","80","92","100","!","78","80"
"West Sussex","77","78","100","74","79","77"
"Windsor and Maidenhead","81","85","!","75","83","80"
"Wokingham","83","91","100","78","84","82"
"Bath and North East Somerset","79","77","77","80","80","79"
"Bournemouth","81","88","!","!","87","80"
"Bristol, City of","78","78","79","73","76","80"
"Cornwall","80","73","73","!","81","80"
"Devon","82","86","!","!","81","82"
"Dorset","80","89","!","!","80","80"
"Gloucestershire","80","88","83","77","82","80"
"Isles of Scilly","!","!","!","!","!","!"
"North Somerset","83","84","63","!","80","83"
"Plymouth","80","83","77","81","82","80"
"Poole","83","91","!","!","81","83"
"Somerset","78","75","67","!","75","79"
"South Gloucestershire","81","90","!","82","82","81"
"Swindon","76","82","!","78","83","76"
"Torbay","81","75","100","!","88","81"
"Wiltshire","78","89","!","81","80","78"
