"Title","Phonics attainment for children aged 5 to 6 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Phonics screening check and key stage 1 assessments: England 2017"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"Standard Ethnicity","Local authority","%"
"Asian","Luton","79"
"Asian","Manchester","80"
"Asian","Medway","89"
"Asian","Merton","88"
"Asian","Middlesbrough","80"
"Asian","Milton Keynes","90"
"Asian","Newcastle upon Tyne","82"
"Asian","Newham","90"
"Asian","Norfolk","87"
"Asian","North East Lincolnshire","!"
"Asian","North Lincolnshire","85"
"Asian","North Somerset","81"
"Asian","North Tyneside","81"
"Asian","North Yorkshire","83"
"Asian","Northamptonshire","84"
"Asian","Northumberland","90"
"Asian","Nottingham","85"
"Asian","Nottinghamshire","86"
"Asian","Oldham","76"
"Asian","Oxfordshire","81"
"Asian","Peterborough","78"
"Asian","Plymouth","87"
"Asian","Poole","92"
"Asian","Portsmouth","82"
"Asian","Reading","88"
"Asian","Redbridge","88"
"Asian","Redcar and Cleveland","100"
"Asian","Richmond upon Thames","92"
"Asian","Rochdale","86"
"Asian","Rotherham","85"
"Asian","Rutland","!"
"Asian","Salford","88"
"Asian","Sandwell","82"
"Asian","Sefton","73"
"Asian","Sheffield","79"
"Asian","Shropshire","88"
"Asian","Slough","90"
"Asian","Solihull","85"
"Asian","Somerset","81"
"Asian","South Gloucestershire","93"
"Asian","South Tyneside","78"
"Asian","Southampton","89"
"Asian","Southend-on-Sea","83"
"Asian","Southwark","85"
"Asian","St. Helens","83"
"Asian","Staffordshire","83"
"Asian","Stockport","80"
"Asian","Stockton-on-Tees","81"
"Asian","Stoke-on-Trent","83"
"Asian","Suffolk","84"
"Asian","Sunderland","82"
"Asian","Surrey","86"
"Asian","Sutton","92"
"Asian","Swindon","82"
"Asian","Tameside","79"
"Asian","Telford and Wrekin","91"
"Asian","Thurrock","91"
"Asian","Torbay","100"
"Asian","Tower Hamlets","84"
"Asian","Trafford","81"
"Asian","Wakefield","82"
"Asian","Walsall","85"
"Asian","Waltham Forest","87"
"Asian","Wandsworth","85"
"Asian","Warrington","88"
"Asian","Warwickshire","89"
"Asian","West Berkshire","89"
"Asian","West Sussex","84"
"Asian","Westminster","92"
"Asian","Wigan","86"
"Asian","Wiltshire","87"
"Asian","Windsor and Maidenhead","84"
"Asian","Wirral","84"
"Asian","Wokingham","88"
"Asian","Wolverhampton","86"
"Asian","Worcestershire","78"
"Asian","York","89"
"Black","Barking and Dagenham","85"
"Black","Barnet","83"
"Black","Barnsley","74"
"Black","Bath and North East Somerset","47"
"Black","Bedford","85"
"Black","Bexley","89"
"Black","Birmingham","81"
"Black","Blackburn with Darwen","82"
"Black","Blackpool","50"
"Black","Bolton","73"
"Black","Bournemouth","86"
"Black","Bracknell Forest","86"
"Black","Bradford","79"
"Black","Brent","82"
"Black","Brighton and Hove","83"
"Black","Bristol, City of","74"
"Black","Bromley","84"
"Black","Buckinghamshire","87"
"Black","Bury","75"
"Black","Calderdale","84"
"Black","Cambridgeshire","73"
"Black","Camden","79"
"Black","Central Bedfordshire","82"
"Black","Cheshire East","!"
"Black","Cheshire West and Chester","67"
"Black","City of London","!"
"Black","Cornwall","!"
"Black","County Durham","71"
"Black","Coventry","83"
"Black","Croydon","83"
"Black","Cumbria","!"
"Black","Darlington","100"
"Black","Derby","81"
"Black","Derbyshire","86"
"Black","Devon","77"
"Black","Doncaster","76"
"Black","Dorset","50"
"Black","Dudley","78"
"Black","Ealing","80"
"Black","East Riding of Yorkshire","!"
"Black","East Sussex","87"
"Black","Enfield","80"
"Black","Essex","84"
"Black","Gateshead","90"
"Black","Gloucestershire","79"
"Black","Greenwich","88"
"Black","Hackney","85"
"Black","Halton","!"
"Black","Hammersmith and Fulham","83"
"Black","Hampshire","83"
"Black","Haringey","83"
"Black","Harrow","82"
"Black","Hartlepool","!"
"Black","Havering","85"
"Black","Herefordshire, County of","!"
"Black","Hertfordshire","84"
"Black","Hillingdon","85"
"Black","Hounslow","80"
"Black","Isle of Wight","N/A"
"Black","Isles of Scilly","!"
"Black","Islington","78"
"Black","Kensington and Chelsea","79"
"Black","Kent","89"
"Black","Kingston upon Hull, City of","74"
"Black","Kingston upon Thames","67"
"Black","Kirklees","78"
"Black","Knowsley","!"
"Black","Lambeth","82"
"Black","Lancashire","80"
"Black","Leeds","76"
"Black","Leicester","82"
"Black","Leicestershire","90"
"Black","Lewisham","79"
"Black","Lincolnshire","!"
"Black","Liverpool","80"
"Black","Luton","83"
"Black","Manchester","83"
"Black","Medway","92"
"Black","Merton","84"
"Black","Middlesbrough","83"
"Black","Milton Keynes","83"
"Black","Newcastle upon Tyne","81"
"Black","Newham","88"
"Black","Norfolk","77"
"Black","North East Lincolnshire","!"
"Black","North Lincolnshire","57"
"Black","North Somerset","67"
"Black","North Tyneside","79"
"Black","North Yorkshire","73"
"Black","Northamptonshire","79"
"Black","Northumberland","100"
"Black","Nottingham","83"
"Black","Nottinghamshire","86"
"Black","Oldham","79"
"Black","Oxfordshire","81"
