"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","68","83"
"Asian","78","86"
"Bangladeshi","80","84"
"Indian","82","90"
"Pakistani","77","82"
"Asian other","78","86"
"Black","77","84"
"Black African","79","85"
"Black Caribbean","73","81"
"Black other","76","82"
"Chinese","83","89"
"Mixed","73","85"
"Mixed White/Asian","74","88"
"Mixed White/Black African","76","85"
"Mixed White/Black Caribbean","70","81"
"Mixed other","74","85"
"White","65","83"
"White British","66","84"
"White Irish","58","84"
"White Irish Traveller","31","41"
"White Gypsy/Roma","42","38"
"White other","71","80"
"Other","74","80"
