"Title","Phonics attainment for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments: England 2016"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","14/12/16"

"Ethnicity","Local authority","All","Boys","Girls"
"All","All - England","81","77","84"
"All","Barking and Dagenham","81","77","85"
"All","Barnet","81","77","85"
"All","Barnsley","79","75","83"
"All","Bath and North East Somerset","79","76","83"
"All","Bedford","75","71","80"
"All","Bexley","85","82","88"
"All","Birmingham","79","75","83"
"All","Blackburn with Darwen","81","77","84"
"All","Blackpool","80","76","84"
"All","Bolton","80","76","84"
"All","Bournemouth","81","78","85"
"All","Bracknell Forest","84","81","88"
"All","Bradford","79","75","83"
"All","Brent","82","79","86"
"All","Brighton and Hove","79","76","83"
"All","Bristol, City of","78","75","82"
"All","Bromley","86","83","89"
"All","Buckinghamshire","81","77","85"
"All","Bury","82","78","85"
"All","Calderdale","82","78","86"
"All","Cambridgeshire","78","74","82"
"All","Camden","80","76","84"
"All","Central Bedfordshire","81","77","85"
"All","Cheshire East","82","78","85"
"All","Cheshire West and Chester","79","75","83"
"All","City of London","!","!","!"
"All","Cornwall","80","77","84"
"All","County Durham","82","78","85"
"All","Coventry","79","75","83"
"All","Croydon","79","76","83"
"All","Cumbria","77","72","80"
"All","Darlington","86","82","89"
"All","Derby","78","74","82"
"All","Derbyshire","79","75","83"
"All","Devon","82","79","86"
"All","Doncaster","78","74","82"
"All","Dorset","80","77","84"
"All","Dudley","79","75","83"
"All","Ealing","82","79","86"
"All","East Riding of Yorkshire","81","77","84"
"All","East Sussex","81","78","85"
"All","Enfield","79","76","83"
"All","Essex","81","77","85"
"All","Gateshead","80","76","84"
"All","Gloucestershire","80","77","84"
"All","Greenwich","84","81","87"
"All","Hackney","85","82","88"
"All","Halton","76","71","80"
"All","Hammersmith and Fulham","85","82","88"
"All","Hampshire","81","78","85"
"All","Haringey","82","79","86"
"All","Harrow","84","81","87"
"All","Hartlepool","85","81","88"
"All","Havering","85","82","89"
"All","Herefordshire, County of","81","77","84"
"All","Hertfordshire","83","80","87"
"All","Hillingdon","83","80","87"
"All","Hounslow","84","81","88"
"All","Isle of Wight","76","72","80"
"All","Isles of Scilly","!","!","!"
"All","Islington","80","76","84"
"All","Kensington and Chelsea","87","85","89"
"All","Kent","82","79","86"
"All","Kingston upon Hull, City of","77","72","81"
"All","Kingston upon Thames","87","86","90"
"All","Kirklees","78","74","82"
"All","Knowsley","78","74","82"
"All","Lambeth","84","80","87"
"All","Lancashire","81","77","84"
"All","Leeds","77","72","81"
"All","Leicester","77","73","81"
"All","Leicestershire","80","76","84"
"All","Lewisham","83","80","87"
"All","Lincolnshire","83","79","87"
"All","Liverpool","75","71","79"
"All","Luton","78","74","82"
"All","Manchester","78","74","82"
"All","Medway","82","79","86"
"All","Merton","80","76","84"
"All","Middlesbrough","74","71","79"
"All","Milton Keynes","81","78","85"
"All","Newcastle upon Tyne","81","77","84"
"All","Newham","87","86","90"
"All","Norfolk","78","75","82"
"All","North East Lincolnshire","80","76","84"
"All","North Lincolnshire","83","79","87"
"All","North Somerset","83","80","87"
"All","North Tyneside","81","77","84"
"All","North Yorkshire","78","74","82"
"All","Northamptonshire","81","77","84"
"All","Northumberland","84","80","87"
"All","Nottingham","75","71","79"
"All","Nottinghamshire","77","73","81"
"All","Oldham","76","72","80"
"All","Oxfordshire","80","76","84"
"All","Peterborough","77","73","82"
"All","Plymouth","80","77","84"
"All","Poole","83","80","87"
"All","Portsmouth","81","78","85"
"All","Reading","79","76","83"
"All","Redbridge","80","76","84"
"All","Redcar and Cleveland","82","78","85"
"All","Richmond upon Thames","89","88","93"
"All","Rochdale","82","78","85"
"All","Rotherham","79","75","83"
"All","Rutland","86","83","89"
"All","Salford","79","75","83"
"All","Sandwell","79","75","83"
"All","Sefton","78","74","82"
"All","Sheffield","77","73","81"
"All","Shropshire","81","77","85"
"All","Slough","81","78","85"
"All","Solihull","84","80","87"
"All","Somerset","78","75","82"
"All","South Gloucestershire","81","78","85"
"All","South Tyneside","81","77","84"
"All","Southampton","82","79","86"
"All","Southend-on-Sea","80","76","84"
"All","Southwark","82","79","86"
"All","St. Helens","78","74","82"
"All","Staffordshire","83","80","87"
"All","Stockport","82","78","86"
"All","Stockton-on-Tees","83","79","86"
"All","Stoke-on-Trent","80","76","84"
"All","Suffolk","79","75","83"
"All","Sunderland","81","77","84"
"All","Surrey","82","79","86"
"All","Sutton","82","79","86"
"All","Swindon","76","72","80"
"All","Tameside","77","72","81"
"All","Telford and Wrekin","84","80","87"
"All","Thurrock","83","80","87"
