"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Barking and Dagenham","77","84","81","88","82","89","100","!","80","88","71","80"
"Barnet","82","87","89","89","81","85","!","!","87","89","82","88"
"Barnsley","73","84","!","!","64","!","!","!","92","78","73","84"
"Bath and North East Somerset","77","82","!","!","!","!","!","!","76","72","78","83"
"Bedford","73","82","75","86","84","86","100","100","72","86","72","81"
"Bexley","82","88","90","94","86","93","!","100","85","90","79","85"
"Birmingham","77","84","80","87","79","84","81","88","75","85","75","82"
"Blackburn with Darwen","77","86","79","91","79","84","100","!","84","!","75","83"
"Blackpool","76","85","85","86","!","!","!","!","81","84","76","85"
"Bolton","78","85","82","91","64","81","!","!","90","86","77","84"
"Bournemouth","81","86","84","!","!","!","!","!","82","90","81","86"
"Bracknell Forest","81","88","84","91","82","!","!","100","92","91","81","88"
"Bradford","75","84","77","89","69","86","100","!","78","80","75","81"
"Brent","77","86","82","88","78","86","!","100","80","85","77","84"
"Brighton and Hove","74","83","80","76","71","90","!","82","80","83","73","84"
"Bristol, City of","78","84","85","84","71","78","!","100","80","82","77","85"
"Bromley","86","90","91","96","79","88","!","!","85","92","86","89"
"Buckinghamshire","79","85","81","83","83","91","100","100","81","87","79","86"
"Bury","77","84","74","85","73","77","60","!","80","83","79","85"
"Calderdale","77","84","77","87","!","!","100","100","82","84","76","84"
"Cambridgeshire","77","83","86","86","65","83","90","!","81","86","77","83"
"Camden","78","85","76","85","74","85","!","!","78","88","81","86"
"Central Bedfordshire","80","85","91","93","77","88","100","!","78","89","80","85"
"Cheshire East","80","87","77","92","!","100","100","100","84","83","80","88"
"Cheshire West and Chester","77","85","82","86","!","!","!","!","75","93","77","85"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","75","83","!","!","N/A","!","!","!","75","87","75","83"
