"Teacher","Ethnicity","%"
"Heads","Asian",""
"Heads","Bangladeshi","0.1"
"Heads","Indian","0.7"
"Heads","Pakistani","0.3"
"Heads","Asian other","0.2"
"Heads","Black",""
"Heads","Black African","0.2"
"Heads","Black Caribbean","0.7"
"Heads","Black other","0.1"
"Heads","Mixed",""
"Heads","Mixed White/Asian","0.2"
"Heads","Mixed White/Black African","!"
"Heads","Mixed White/Black Caribbean","0.2"
"Heads","Mixed other","0.2"
"Heads","White",""
"Heads","White British","93.1"
"Heads","White Irish","1.9"
"Heads","White other","1.8"
"Heads","Chinese and other",""
"Heads","Chinese","0.1"
"Heads","Any other","0.2"
"Deputies and assistants","Asian",""
"Deputies and assistants","Bangladeshi","0.2"
"Deputies and assistants","Indian","1.3"
"Deputies and assistants","Pakistani","0.7"
"Deputies and assistants","Asian other","0.4"
"Deputies and assistants","Black",""
"Deputies and assistants","Black African","0.4"
"Deputies and assistants","Black Caribbean","1.0"
"Deputies and assistants","Black other","0.2"
"Deputies and assistants","Mixed",""
"Deputies and assistants","Mixed White/Asian","0.3"
"Deputies and assistants","Mixed White/Black African","0.1"
"Deputies and assistants","Mixed White/Black Caribbean","0.2"
"Deputies and assistants","Mixed other","0.4"
"Deputies and assistants","White",""
"Deputies and assistants","White British","90.4"
"Deputies and assistants","White Irish","1.6"
"Deputies and assistants","White other","2.3"
"Deputies and assistants","Chinese and other",""
"Deputies and assistants","Chinese","0.1"
"Deputies and assistants","Any other","0.4"
"Classroom and others","Asian",""
"Classroom and others","Bangladeshi","0.5"
"Classroom and others","Indian","1.9"
"Classroom and others","Pakistani","1.1"
"Classroom and others","Asian other","0.7"
"Classroom and others","Black",""
"Classroom and others","Black African","0.9"
"Classroom and others","Black Caribbean","1.1"
"Classroom and others","Black other","0.3"
"Classroom and others","Mixed",""
"Classroom and others","Mixed White/Asian","0.3"
"Classroom and others","Mixed White/Black African","0.1"
"Classroom and others","Mixed White/Black Caribbean","0.3"
"Classroom and others","Mixed other","0.5"
"Classroom and others","White",""
"Classroom and others","White British","85.7"
"Classroom and others","White Irish","1.7"
"Classroom and others","White other","4.1"
"Classroom and others","Chinese and other",""
"Classroom and others","Chinese","0.2"
"Classroom and others","Any other","0.6"
