"","All","Level 4 and above","Level 3","Level 2","Below level 2","Other qualifications","No qualifications"
"Highest qualification","","","","","","",""
"All","4%","3%","3%","5%","6%","4%","6%"
"Asian","5%","4%","8%","8%","8%","7%","4%"
"Black","8%","6%","6%","17%","12%","5%","7%"
"Mixed","9%","5%","10%","14%","?","?","?"
"White","4%","2%","3%","5%","6%","4%","7%"
"Other","5%","5%","4%","7%","?","5%","4%"
