"","All","Asian","Black ","Mixed","White","Other"
"Highest qualification","","","","","",""
"All","3%","5%","6%","7%","3%","4%"
"Level 4 and above","3%","4%","5%","9%","2%","4%"
"Level 3","3%","5%","7%","1%","3%","4%"
"Level 2","4%","6%","9%","9%","3%","9%"
"Below level 2","5%","11%","10%","?","4%","5%"
"Other qualifications","4%","4%","6%","?","4%","1%"
"No qualifications","4%","2%","6%","?","4%","1%"
