"","All","Asian","Black","Mixed","White","Other"
"Highest qualification","%","%","%","%","%","%"
"All","4","5","7","8","3","4"
"Level 4 and above","3","4","5","7","2","4"
"Level 3","3","6","7","5","3","4"
"Level 2","4","7","12","11","4","8"
"Below Level 2","5","9","11","11","5","6"
"Other qualifications","4","5","6","?","4","3"
"No qualifications","5","3","7","5","5","3"
