"","East Midlands","East of England","London","North East","North West","Scotland","South East","South West","Wales","West Midlands","Yorkshire and The Humber"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%"
"All","75","77","74","70","72","73","78","77","71","71","72"
"Indian","70","73","76","?","64","69","78","83","?","70","66"
"Pakistani/Bangladeshi","53","54","54","55","55","61","60","?","?","50","54"
"Asian other","60","71","66","?","57","49","66","68","52","50","60"
"Black","68","72","69","?","59","61","68","62","?","60","75"
"Mixed","60","74","63","?","68","?","72","60","?","56","61"
"White British","76","77","78","71","73","74","78","77","72","75","74"
"White other","80","84","81","74","79","78","81","78","77","75","77"
"Other","?","68","63","?","55","56","66","69","54","57","50"
