"Title","Overweight or obese adults by ethnicity"
"Location","England"
"Time period","2015/16 and 2016/17"
"Data source","Public Health Outcomes Framework"
"Data source link","http://www.phoutcomes.info/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"Time","Ethnicity","%","Number of respondents"
"2015/16","All","61","170,273"
"2015/16","Asian","58","6,018"
"2015/16","Black","73","1,998"
"2015/16","Chinese","36","857"
"2015/16","Mixed","55","1,529"
"2015/16","White British","62","146,869"
"2015/16","White other","57","8,610"
"2015/16","Other","58","1,191"
"2016/17","All","61","166,213"
"2016/17","Asian","56","6,142"
"2016/17","Black","69","1,987"
"2016/17","Chinese","32","873"
"2016/17","Mixed","57","1,616"
"2016/17","White British","62","142,038"
"2016/17","White other","58","8,678"
"2016/17","Other","59","1,084"
