"Standard Ethnicity","Region","%"
"White","All","7"
"White","London","8"
"White","Midlands & East","7"
"White","North","6"
"White","South","7"
"Other","All","15"
"Other","London","16"
"Other","Midlands & East","14"
"Other","North","15"
"Other","South","14"
