"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Type of transport","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips"
"Bicycle","2","17","1","6","!","!","2","17","2","18","!","!"
"Bus in London","2","20","6","50","18","138","6","49","1","12","12","88"
"Car / van driver","42","387","32","248","23","183","21","177","43","412","27","201"
"Car / van passenger","22","208","22","169","17","129","28","241","23","215","17","126"
"London Underground","1","9","3","23","3","24","!","!","1","7","4","26"
"Motorcycle ","0","3","!","!","!","!","!","!","0","4","!","!"
"Non-local bus","0","1","!","!","!","!","!","!","0","1","!","!"
"Other local bus","4","41","4","30","6","47","6","51","4","42","5","34"
"Other private transport","1","7","0","3","!","!","!","!","1","7","!","!"
"Other public transport","0","3","!","!","!","!","!","!","0","2","!","!"
"Surface Rail","2","20","3","26","4","34","3","27","2","18","3","25"
"Taxi / minicab","1","10","1","7","1","10","!","!","1","10","!","!"
"Walk","22","207","27","209","25","197","29","244","22","206","27","199"
