"Title","Unemployment by White and Other ethnicities"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"

"Standard Ethnicity","%","Total unemployed"
"All","5","1,551,000"
"White","4","1,212,000"
"Other","8","338,000"
