"Title","Unemployment"
"Time period","2004 to 2016"
"Location","England, Wales and Scotland"
"Source","Annual Population Survey"
"Department","Department for Work and Pensions"
"Last update","December 2016"
"
"
"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL","SUPRESS","",""
"Jan04-Dec04","Unemployed","All","All","All","All","16+","""1","378","994""","""28","979","126""","""10","603""","4.8","0.4","","","","
"
"Jan04-Dec04","Unemployed","All","All","All","16-24","16+","""553","841""","""4","488","249""","""4","057""","12.3","1","","","","
"
"Jan04-Dec04","Unemployed","All","All","All","25-49","16+","""627","314""","""17","166","280""","""4","756""","3.7","0.5","","","","
"
"Jan04-Dec04","Unemployed","All","All","All","50-64","16+","""185","624""","""6","770","122""","""1","680""","2.7","0.8","","","","
"
"Jan04-Dec04","Unemployed","All","All","All","65+","16+","""12","215""","""554","475""","110","2.2","2.7","","","","
"
"Jan04-Dec04","Unemployed","All","All","Female","All","16+","""573","029""","""13","237","011""","""4","531""","4.3","0.6","","","","
"
"Jan04-Dec04","Unemployed","All","All","Female","16-24","16+","""230","767""","""2","115","637""","""1","677""","10.9","1.5","","","","
"
"Jan04-Dec04","Unemployed","All","All","Female","25-49","16+","""277","601""","""7","900","852""","""2","247""","3.5","0.8","","","","
"
"Jan04-Dec04","Unemployed","All","All","Female","50-64","16+","""62","130""","""3","016","060""","578","2.1","1.2","","","","
"
"Jan04-Dec04","Unemployed","All","All","Female","65+","16+","?","?","?","?","?","Supress","","","
"
"Jan04-Dec04","Unemployed","All","All","Male","All","16+","""805","965""","""15","742","115""","""6","072""","5.1","0.6","","","","
"
"Jan04-Dec04","Unemployed","All","All","Male","16-24","16+","""323","074""","""2","372","612""","""2","380""","13.6","1.4","","","","
"
"Jan04-Dec04","Unemployed","All","All","Male","25-49","16+","""349","713""","""9","265","428""","""2","509""","3.8","0.7","","","","
"
"Jan04-Dec04","Unemployed","All","All","Male","50-64","16+","""123","494""","""3","754","062""","""1","102""","3.3","1.1","","","","
"
"Jan04-Dec04","Unemployed","All","All","Male","65+","16+","""9","684""","""350","013""","81","2.8","3.6","","","","
"
