"sex","Ethnicity","%","Unemployed people"
"All","All","4","1,424,700"
"All","White","4","1,105,300"
"All","Other than White","8","317,000"
"Men","All","5","777,900"
"Men","White","4","621,600"
"Men","Other than White","7","155,600"
"Women","All","4","646,800"
"Women","White","4","483,600"
"Women","Other than White","9","161,400"
