"Title","Unemployment by ethnicity and age group"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"Ethnicity","age_band","%","Total unemployed"
"All","16-24","12","516,300"
"All","25-49","3","619,400"
"All","50-64","3","266,600"
"All","65+","2","22,400"
"All","All (16+)","4","1,424,700"
"White","16-24","11","410,300"
"White","25-49","3","450,200"
"White","50-64","3","225,200"
"White","65+","2","19,600"
"White","All (16+)","4","1,105,300"
"Other than White","16-24","19","105,300"
"Other than White","25-49","6","168,100"
"Other than White","50-64","6","41,300"
"Other than White","65+","?","?"
"Other than White","All (16+)","8","317,000"
