"Threshold","Ethnicity",""
"Very Low (0-1)","All","40.3"
"Very Low (0-1)","Bangladeshi","39.4"
"Very Low (0-1)","Chinese","38.3"
"Very Low (0-1)","Indian","38.9"
"Very Low (0-1)","Pakistani","36.7"
"Very Low (0-1)","Asian other","39.2"
"Very Low (0-1)","Black","40.8"
"Very Low (0-1)","Mixed other","35.0"
"Very Low (0-1)","White","40.5"
"Very Low (0-1)","Other","39.1"
"Very Low (0-1)","Arab","33.8"
"Very Low (0-1)","Gypsy / Traveller / Irish Traveller","?"
"Low (2-3)","All","23.4"
"Low (2-3)","Bangladeshi","20.6"
"Low (2-3)","Chinese","27.8"
"Low (2-3)","Indian","24.1"
"Low (2-3)","Pakistani","24.1"
"Low (2-3)","Asian other","23.3"
"Low (2-3)","Black","23.0"
"Low (2-3)","Mixed other","24.2"
"Low (2-3)","White","23.4"
"Low (2-3)","Other","23.7"
"Low (2-3)","Arab","20.6"
"Low (2-3)","Gypsy / Traveller / Irish Traveller","?"
"Medium (4-5)","All","16.6"
"Medium (4-5)","Bangladeshi","21.9"
"Medium (4-5)","Chinese","18.4"
"Medium (4-5)","Chinese","18.4"
"Medium (4-5)","Indian","18.2"
"Medium (4-5)","Pakistani","21.5"
"Medium (4-5)","Asian other","20.0"
"Medium (4-5)","Black","17.0"
"Medium (4-5)","Mixed other","18.8"
"Medium (4-5)","White","16.3"
"Medium (4-5)","Other","17.9"
"Medium (4-5)","Arab","21.0"
"Medium (4-5)","Gypsy / Traveller / Irish Traveller","?"
"High (6-10)","All","19.7"
"High (6-10)","Bangladeshi","18.1"
"High (6-10)","Chinese","15.5"
"High (6-10)","Indian","18.9"
"High (6-10)","Pakistani","17.8"
"High (6-10)","Asian other","17.5"
"High (6-10)","Black","19.3"
"High (6-10)","Mixed other","22.0"
"High (6-10)","White","19.8"
"High (6-10)","Other","19.3"
"High (6-10)","Arab","24.7"
"High (6-10)","Gypsy / Traveller / Irish Traveller","?"
