"Title","Anxiety by ethnicity and sex"
"Location","UK"
"Time period","2013 to 2015 combined"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeinganxiety"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"","Female","Male"
"Ethnicity","",""
"All","3.02","2.73"
"Bangladeshi","2.94","2.84"
"Chinese","2.80","2.86"
"Indian","3.04","2.83"
"Pakistani","3.08","2.85"
"Asian other","3.07","3.02"
"Black","2.91","2.90"
"Mixed","3.40","2.98"
"White","3.02","2.71"
"Other","3.10","2.99"
"Arab","3.47","3.36"
"Gypsy / Traveller / Irish Traveller","?","?"
