"Ethnicity","Average score"
"All","2.89"
"Bangladeshi","2.97"
"Chinese","2.72"
"Indian","2.91"
"Pakistani","2.99"
"Asian other","2.92"
"Black","2.88"
"Mixed","3.14"
"White","2.88"
"Other","2.93"
"Arab","3.47"
"Gypsy / Traveller / Irish Traveller","?"
