"Title","Judges and non-legal members of the judiciary"
"Location","England, Wales and Scotland"
"Time period","2016 to 2017"
"Data source","Ministry of Justice"
"Data source link","https://www.judiciary.gov.uk/publications/judicial-statistics-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","July 2017"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Court/Tribunal","Court/Tribunal type","Value"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","Lords Justices of Appeal","10"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","High Court Judges","11"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy High Court Judges","37"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","Judge Advocates, Deputy Judge Advocates","0"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","Masters, Registrars, Costs Judges and District Judges (Principal Registry of the Family Division)","7"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy Masters, Deputy Registrars, Deputy Costs Judges and Deputy District Judges (PRFD)","25"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","Circuit Judges","60"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","Recorders","193"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","District Judges (County Courts)","27"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy District Judges (County Courts)","105"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","District Judges (Magistrates' Courts)","19"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy District Judges (Magistrates' Courts)","27"
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2011","Court Judges","All","28"
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2011","Court Judges","All","78"
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2011","Court Judges","All","28"
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2011","Court Judges","All","39"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Court Judges","All","523"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2011","Court Judges","All","2,438"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","13"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","54"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","16"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","1,079"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","17"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2017","Tribunal Judges","Employment Judge","295"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","11"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2018","Tribunal non-legal members","non-legal members","2,344"
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents"," - "
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","2"
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","63"
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge"," - "
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2017","Tribunal Judges","Employment Judge","9"
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge"," - "
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2018","Tribunal non-legal members","non-legal members","308"
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents"," - "
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","2"
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge"," - "
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","21"
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge"," - "
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2017","Tribunal Judges","Employment Judge","8"
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","1"
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2018","Tribunal non-legal members","non-legal members","66"
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents"," - "
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","5"
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","2"
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","16"
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","2"
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2017","Tribunal Judges","Employment Judge","3"
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge"," - "
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2018","Tribunal non-legal members","non-legal members","31"
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents"," - "
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","29"
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge"," - "
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2017","Tribunal Judges","Employment Judge","2"
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge"," - "
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2018","Tribunal non-legal members","non-legal members","50"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","1"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","4"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","4"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","107"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","10"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2017","Tribunal Judges","Employment Judge","7"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge"," - "
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2018","Tribunal non-legal members","non-legal members","328"
"Number of judges and judiciary members","01/04/17","Date","Other","ONS 5+1 2011","Tribunal Judges","All","33"
"Number of judges and judiciary members","01/04/17","Date","Asian","ONS 5+1 2011","Tribunal Judges","All","75"
"Number of judges and judiciary members","01/04/17","Date","Black","ONS 5+1 2011","Tribunal Judges","All","32"
"Number of judges and judiciary members","01/04/17","Date","Mixed","ONS 5+1 2011","Tribunal Judges","All","28"
"Number of judges and judiciary members","01/04/17","Date","Unknown","ONS 5+1 2011","Tribunal Judges","All","133"
"Number of judges and judiciary members","01/04/17","Date","White","ONS 5+1 2011","Tribunal Judges","All","1,485"
"Number of judges and judiciary members","01/04/16","Date","White","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","13"
"Number of judges and judiciary members","01/04/16","Date","White","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","65"
"Number of judges and judiciary members","01/04/16","Date","White","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","19"
"Number of judges and judiciary members","01/04/16","Date","White","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","1,154"
"Number of judges and judiciary members","01/04/16","Date","White","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","12"
"Number of judges and judiciary members","01/04/16","Date","White","ONS 5+1 2017","Tribunal Judges","Employment Judge","307"
"Number of judges and judiciary members","01/04/16","Date","White","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","10"
"Number of judges and judiciary members","01/04/16","Date","White","ONS 5+1 2018","Tribunal non-legal members","non-legal members","2,531"
"Number of judges and judiciary members","01/04/16","Date","Asian","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0"
"Number of judges and judiciary members","01/04/16","Date","Asian","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","3"
"Number of judges and judiciary members","01/04/16","Date","Asian","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0"
"Number of judges and judiciary members","01/04/16","Date","Asian","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","65"
"Number of judges and judiciary members","01/04/16","Date","Asian","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0"
"Number of judges and judiciary members","01/04/16","Date","Asian","ONS 5+1 2017","Tribunal Judges","Employment Judge","9"
"Number of judges and judiciary members","01/04/16","Date","Asian","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0"
"Number of judges and judiciary members","01/04/16","Date","Asian","ONS 5+1 2018","Tribunal non-legal members","non-legal members","311"
"Number of judges and judiciary members","01/04/16","Date","Black","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0"
"Number of judges and judiciary members","01/04/16","Date","Black","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","2"
"Number of judges and judiciary members","01/04/16","Date","Black","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/16","Date","Black","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","22"
"Number of judges and judiciary members","01/04/16","Date","Black","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0"
"Number of judges and judiciary members","01/04/16","Date","Black","ONS 5+1 2017","Tribunal Judges","Employment Judge","8"
"Number of judges and judiciary members","01/04/16","Date","Black","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","1"
"Number of judges and judiciary members","01/04/16","Date","Black","ONS 5+1 2018","Tribunal non-legal members","non-legal members","71"
"Number of judges and judiciary members","01/04/16","Date","Mixed","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0"
"Number of judges and judiciary members","01/04/16","Date","Mixed","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","5"
"Number of judges and judiciary members","01/04/16","Date","Mixed","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/16","Date","Mixed","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","18"
"Number of judges and judiciary members","01/04/16","Date","Mixed","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","1"
"Number of judges and judiciary members","01/04/16","Date","Mixed","ONS 5+1 2017","Tribunal Judges","Employment Judge","4"
"Number of judges and judiciary members","01/04/16","Date","Mixed","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0"
"Number of judges and judiciary members","01/04/16","Date","Mixed","ONS 5+1 2018","Tribunal non-legal members","non-legal members","35"
"Number of judges and judiciary members","01/04/16","Date","Other","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0"
"Number of judges and judiciary members","01/04/16","Date","Other","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/16","Date","Other","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0"
"Number of judges and judiciary members","01/04/16","Date","Other","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","34"
"Number of judges and judiciary members","01/04/16","Date","Other","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0"
"Number of judges and judiciary members","01/04/16","Date","Other","ONS 5+1 2017","Tribunal Judges","Employment Judge","2"
"Number of judges and judiciary members","01/04/16","Date","Other","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0"
"Number of judges and judiciary members","01/04/16","Date","Other","ONS 5+1 2018","Tribunal non-legal members","non-legal members","53"
"Number of judges and judiciary members","01/04/16","Date","Unknown","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","1"
"Number of judges and judiciary members","01/04/16","Date","Unknown","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","3"
"Number of judges and judiciary members","01/04/16","Date","Unknown","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","3"
"Number of judges and judiciary members","01/04/16","Date","Unknown","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","118"
"Number of judges and judiciary members","01/04/16","Date","Unknown","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","4"
"Number of judges and judiciary members","01/04/16","Date","Unknown","ONS 5+1 2017","Tribunal Judges","Employment Judge","8"
"Number of judges and judiciary members","01/04/16","Date","Unknown","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0"
"Number of judges and judiciary members","01/04/16","Date","Unknown","ONS 5+1 2018","Tribunal non-legal members","non-legal members","465"
"Number of judges and judiciary members","01/04/16","Date","Other","ONS 5+1 2011","Tribunal Judges","All","37"
"Number of judges and judiciary members","01/04/16","Date","Asian","ONS 5+1 2011","Tribunal Judges","All","77"
"Number of judges and judiciary members","01/04/16","Date","Black","ONS 5+1 2011","Tribunal Judges","All","34"
"Number of judges and judiciary members","01/04/16","Date","Mixed","ONS 5+1 2011","Tribunal Judges","All","29"
"Number of judges and judiciary members","01/04/16","Date","Unknown","ONS 5+1 2011","Tribunal Judges","All","137"
"Number of judges and judiciary members","01/04/16","Date","White","ONS 5+1 2011","Tribunal Judges","All","1,580"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","13"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","64"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","17"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","1,239"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","12"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2017","Tribunal Judges","Employment Judge","328"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","10"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","8"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2018","Tribunal non-legal members","non-legal members","2,722"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","3"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","64"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2017","Tribunal Judges","Employment Judge","9"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","0"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2018","Tribunal non-legal members","non-legal members","341"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","23"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2017","Tribunal Judges","Employment Judge","8"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","1"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","0"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2018","Tribunal non-legal members","non-legal members","67"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","4"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","18"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","1"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2017","Tribunal Judges","Employment Judge","3"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","0"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2018","Tribunal non-legal members","non-legal members","36"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","37"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2017","Tribunal Judges","Employment Judge","2"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","0"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2018","Tribunal non-legal members","non-legal members","65"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","1"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","4"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","113"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","3"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2017","Tribunal Judges","Employment Judge","9"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","6"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2018","Tribunal non-legal members","non-legal members","420"
"Number of judges and judiciary members","01/04/15","Date","Other","ONS 5+1 2011","Tribunal Judges","All","41"
"Number of judges and judiciary members","01/04/15","Date","Asian","ONS 5+1 2011","Tribunal Judges","All","76"
"Number of judges and judiciary members","01/04/15","Date","Black","ONS 5+1 2011","Tribunal Judges","All","33"
"Number of judges and judiciary members","01/04/15","Date","Mixed","ONS 5+1 2011","Tribunal Judges","All","27"
"Number of judges and judiciary members","01/04/15","Date","Unknown","ONS 5+1 2011","Tribunal Judges","All","136"
"Number of judges and judiciary members","01/04/15","Date","White","ONS 5+1 2011","Tribunal Judges","All","1,691"
