"Title","Writing attainments for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_girls"
"Bedford","E06000055","All","ONS 5","Boys","All/Boys/Girls","59","71"
"Bedford","E06000055","Asian","ONS 5","Boys","All/Boys/Girls","58","75"
"Bedford","E06000055","Black","ONS 5","Boys","All/Boys/Girls","62","78"
"Bedford","E06000055","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Bedford","E06000055","Mixed","ONS 5","Boys","All/Boys/Girls","59","70"
"Bedford","E06000055","White","ONS 5","Boys","All/Boys/Girls","59","69"
"Cambridgeshire","E10000003","All","ONS 5","Boys","All/Boys/Girls","56","70"
"Cambridgeshire","E10000003","Asian","ONS 5","Boys","All/Boys/Girls","63","70"
"Cambridgeshire","E10000003","Black","ONS 5","Boys","All/Boys/Girls","57","71"
"Cambridgeshire","E10000003","Chinese","ONS 5","Boys","All/Boys/Girls","80","84"
"Cambridgeshire","E10000003","Mixed","ONS 5","Boys","All/Boys/Girls","59","80"
"Cambridgeshire","E10000003","White","ONS 5","Boys","All/Boys/Girls","56","70"
"Central Bedfordshire","E06000056","All","ONS 5","Boys","All/Boys/Girls","62","76"
"Central Bedfordshire","E06000056","Asian","ONS 5","Boys","All/Boys/Girls","77","88"
"Central Bedfordshire","E06000056","Black","ONS 5","Boys","All/Boys/Girls","68","80"
"Central Bedfordshire","E06000056","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Central Bedfordshire","E06000056","Mixed","ONS 5","Boys","All/Boys/Girls","57","69"
"Central Bedfordshire","E06000056","White","ONS 5","Boys","All/Boys/Girls","62","76"
"Essex","E10000012","All","ONS 5","Boys","All/Boys/Girls","60","76"
"Essex","E10000012","Asian","ONS 5","Boys","All/Boys/Girls","73","84"
"Essex","E10000012","Black","ONS 5","Boys","All/Boys/Girls","66","80"
"Essex","E10000012","Chinese","ONS 5","Boys","All/Boys/Girls","76","88"
"Essex","E10000012","Mixed","ONS 5","Boys","All/Boys/Girls","65","75"
"Essex","E10000012","White","ONS 5","Boys","All/Boys/Girls","60","76"
"Hertfordshire","E10000015","All","ONS 5","Boys","All/Boys/Girls","65","78"
"Hertfordshire","E10000015","Asian","ONS 5","Boys","All/Boys/Girls","70","83"
"Hertfordshire","E10000015","Black","ONS 5","Boys","All/Boys/Girls","68","79"
"Hertfordshire","E10000015","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Hertfordshire","E10000015","Mixed","ONS 5","Boys","All/Boys/Girls","66","80"
"Hertfordshire","E10000015","White","ONS 5","Boys","All/Boys/Girls","65","77"
"Luton","E06000032","All","ONS 5","Boys","All/Boys/Girls","55","69"
"Luton","E06000032","Asian","ONS 5","Boys","All/Boys/Girls","56","71"
"Luton","E06000032","Black","ONS 5","Boys","All/Boys/Girls","62","72"
"Luton","E06000032","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
