"Title","Writing attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value"
"West Midlands","Staffordshire","E10000028","Mixed","ONS 5","All","All/Boys/Girls","68"
"West Midlands","Stoke-on-Trent","E06000021","Mixed","ONS 5","All","All/Boys/Girls","65"
"West Midlands","Telford and Wrekin","E06000020","Mixed","ONS 5","All","All/Boys/Girls","70"
"West Midlands","Walsall","E08000030","Mixed","ONS 5","All","All/Boys/Girls","62"
"West Midlands","Warwickshire","E10000031","Mixed","ONS 5","All","All/Boys/Girls","70"
"West Midlands","Wolverhampton","E08000031","Mixed","ONS 5","All","All/Boys/Girls","63"
"West Midlands","Worcestershire","E10000034","Mixed","ONS 5","All","All/Boys/Girls","64"
"East","Bedford","E06000055","Mixed","ONS 5","All","All/Boys/Girls","64"
"East","Cambridgeshire","E10000003","Mixed","ONS 5","All","All/Boys/Girls","69"
"East","Central Bedfordshire","E06000056","Mixed","ONS 5","All","All/Boys/Girls","63"
"East","Essex","E10000012","Mixed","ONS 5","All","All/Boys/Girls","70"
"East","Hertfordshire","E10000015","Mixed","ONS 5","All","All/Boys/Girls","73"
"East","Luton","E06000032","Mixed","ONS 5","All","All/Boys/Girls","66"
"East","Norfolk","E10000020","Mixed","ONS 5","All","All/Boys/Girls","72"
"East","Peterborough","E06000031","Mixed","ONS 5","All","All/Boys/Girls","65"
"East","Southend-on-Sea","E06000033","Mixed","ONS 5","All","All/Boys/Girls","67"
"East","Suffolk","E10000029","Mixed","ONS 5","All","All/Boys/Girls","65"
"East","Thurrock","E06000034","Mixed","ONS 5","All","All/Boys/Girls","68"
"London","Camden","E09000007","Mixed","ONS 5","All","All/Boys/Girls","71"
"London","City of London","E09000001","Mixed","ONS 5","All","All/Boys/Girls","!"
"London","Hackney","E09000012","Mixed","ONS 5","All","All/Boys/Girls","82"
"London","Hammersmith and Fulham","E09000013","Mixed","ONS 5","All","All/Boys/Girls","67"
"London","Haringey","E09000014","Mixed","ONS 5","All","All/Boys/Girls","79"
"London","Islington","E09000019","Mixed","ONS 5","All","All/Boys/Girls","72"
"London","Kensington and Chelsea","E09000020","Mixed","ONS 5","All","All/Boys/Girls","76"
"London","Lambeth","E09000022","Mixed","ONS 5","All","All/Boys/Girls","76"
"London","Lewisham","E09000023","Mixed","ONS 5","All","All/Boys/Girls","76"
"London","Newham","E09000025","Mixed","ONS 5","All","All/Boys/Girls","81"
"London","Southwark","E09000028","Mixed","ONS 5","All","All/Boys/Girls","67"
"London","Tower Hamlets","E09000030","Mixed","ONS 5","All","All/Boys/Girls","71"
"London","Wandsworth","E09000032","Mixed","ONS 5","All","All/Boys/Girls","70"
"London","Westminster","E09000033","Mixed","ONS 5","All","All/Boys/Girls","74"
"London","Barking and Dagenham","E09000002","Mixed","ONS 5","All","All/Boys/Girls","67"
"London","Barnet","E09000003","Mixed","ONS 5","All","All/Boys/Girls","67"
