"","All","","Asian","","Black","","White","","Other",""
"Year","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"2005/06","70","28,117","51","2,080","41","1,322","72","24,038","60","645"
"2010/11","71","14,102","55","796","45","423","73","12,617","64","238"
"2015/16","73","10,171","60","434","52","242","75","9,312","57","174"
