"Title","Home ownership by ethnicity and weekly income"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Weekly income","Denominator","Numerator","Value"
"White British","Up to £99"," 183,039 "," 13,026 ","7"
"White British","£100 to £199"," 1,623,813 "," 588,678 ","36"
"White British","£200 to £299"," 2,290,104 "," 1,148,278 ","50"
"White British","£300 to £399"," 2,121,559 "," 1,241,118 ","59"
"White British","£400 to £499"," 1,793,046 "," 1,133,141 ","63"
"White British","£500 to £599"," 1,641,076 "," 1,090,733 ","66"
"White British","£600 to £699"," 1,521,753 "," 1,111,534 ","73"
"White British","£700 to £799"," 1,234,900 "," 955,013 ","77"
"White British","£800 to £899"," 1,099,098 "," 887,284 ","81"
"White British","£900 to £999"," 875,735 "," 728,261 ","83"
"White British","£1000 and above"," 4,424,028 "," 3,835,807 ","87"
"All other ethnic groups","Up to £99"," 64,744 "," NA   ","0"
"All other ethnic groups","£100 to £199"," 319,019 "," 58,791 ","18"
"All other ethnic groups","£200 to £299"," 382,066 "," 116,474 ","30"
"All other ethnic groups","£300 to £399"," 490,875 "," 129,777 ","26"
"All other ethnic groups","£400 to £499"," 399,204 "," 140,797 ","35"
"All other ethnic groups","£500 to £599"," 343,358 "," 110,654 ","32"
"All other ethnic groups","£600 to £699"," 312,920 "," 129,579 ","41"
"All other ethnic groups","£700 to £799"," 266,681 "," 124,852 ","47"
"All other ethnic groups","£800 to £899"," 209,729 "," 110,086 ","52"
"All other ethnic groups","£900 to £999"," 188,360 "," 104,294 ","55"
"All other ethnic groups","£1000 and above"," 831,408 "," 547,689 ","66"
