"Title","Home ownership by ethnicity and area"
"Location","England"
"Time period","2014/15 and 2015/16 (combined) "
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Region","Denominator","Numerator","Value"
"White British","North East"," 1,082,079 "," 669,965 ","62"
"White British","North West"," 2,726,087 "," 1,800,777 ","66"
"White British","Yorkshire and The Humber"," 1,993,215 "," 1,277,607 ","64"
"White British","East Midlands"," 1,716,315 "," 1,190,589 ","69"
"White British","West Midlands"," 1,973,387 "," 1,336,007 ","68"
"White British","East of England"," 2,179,257 "," 1,522,381 ","70"
"White British","London"," 1,721,643 "," 1,062,188 ","62"
"White British","South East"," 3,196,339 "," 2,300,230 ","72"
"White British","South West"," 2,220,374 "," 1,573,674 ","71"
"All other ethnic groups","North East"," 60,660 "," 24,025 ","40"
"All other ethnic groups","North West"," 332,876 "," 159,479 ","48"
"All other ethnic groups","Yorkshire and The Humber"," 251,038 "," 117,953 ","47"
"All other ethnic groups","East Midlands"," 223,700 "," 102,383 ","46"
"All other ethnic groups","West Midlands"," 355,356 "," 174,503 ","49"
"All other ethnic groups","East of England"," 316,271 "," 143,253 ","45"
"All other ethnic groups","London"," 1,615,633 "," 582,810 ","36"
"All other ethnic groups","South East"," 492,775 "," 207,876 ","42"
"All other ethnic groups","South West"," 160,054 "," 60,712 ","38"
