"","All","Men","Women"
"Ethnicity","","",""
"Asian","5.8","6.1","5.3"
"Black","8.3","5.1","10.9"
"Mixed/Other","5.8","5.4","6.2"
"White - British","4.2","3.5","4.9"
"White - Other","2.2","1.8","2.5"
