"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All - England","63","537,808","68","50,541","60","27,589","84","1,987","63","22,753","63","421,440"
"County Durham","62","4,979","70","33","50","6","!","6","67","42","63","4,846"
"Darlington","62","1,139","52","21","!","!","!","3","73","15","62","1,086"
"Gateshead","65","1,913","86","35","57","14","!","!","80","20","64","1,810"
"Hartlepool","55","1,068","71","14","!","5","!","!","63","8","55","1,036"
"Middlesbrough","55","1,464","72","172","67","15","N/A","0","66","53","53","1,164"
"Newcastle upon Tyne","62","2,393","67","249","50","80","46","13","71","65","62","1,913"
"North Tyneside","68","1,945","58","38","73","11","100","9","86","35","68","1,833"
"Northumberland","61","3,198","79","42","!","!","100","6","69","36","61","3,100"
"Redcar and Cleveland","61","1,620","57","21","100","3","!","!","65","20","61","1,567"
"South Tyneside","62","1,535","67","57","!","8","N/A","0","53","17","63","1,421"
"Stockton-on-Tees","64","1,994","63","106","!","!","!","!","64","25","64","1,842"
"Sunderland","59","2,828","72","90","50","16","100","3","56","27","59","2,677"
"Blackburn with Darwen","65","1,754","71","735","53","15","!","!","74","61","61","922"
"Blackpool","48","1,331","63","19","44","9","100","5","42","24","48","1,270"
"Bolton","59","3,240","69","611","46","124","!","7","50","88","58","2,354"
"Bury","62","2,060","63","244","47","36","!","4","61","101","63","1,636"
"Cheshire East","68","3,740","66","62","62","13","73","15","66","93","68","3,509"
"Cheshire West and Chester","66","3,443","76","37","50","12","!","8","71","72","65","3,283"
"Cumbria","63","5,134","65","31","46","13","!","9","83","53","63","4,987"
"Halton","60","1,373","!","!","!","!","N/A","0","76","25","60","1,335"
"Knowsley","40","1,147","!","!","!","!","!","!","57","21","39","1,103"
"Lancashire","64","12,106","59","1,147","71","38","88","32","66","277","64","10,512"
"Liverpool","57","4,611","70","132","54","137","82","45","52","203","57","3,919"
"Manchester","55","4,715","64","974","57","741","81","43","50","344","51","2,312"
"Oldham","57","2,920","56","822","53","47","!","7","48","90","58","1,901"
"Rochdale","59","2,315","61","551","68","63","!","!","61","83","58","1,601"
"Salford","53","2,084","68","38","63","78","!","6","60","80","52","1,832"
"Sefton","60","3,076","70","23","40","15","100","8","63","60","61","2,896"
"St. Helens","60","1,767","!","14","63","8","100","4","80","15","61","1,675"
"Stockport","66","2,816","68","168","67","21","56","16","73","105","66","2,463"
"Tameside","64","2,493","67","253","66","35","67","12","68","74","63","2,078"
"Trafford","75","2,758","81","327","69","75","90","49","73","132","75","2,118"
"Warrington","64","2,365","80","49","36","14","!","6","51","35","64","2,216"
"Wigan","63","3,407","63","30","69","16","100","3","55","66","63","3,271"
"Wirral","66","3,402","78","64","!","8","100","14","70","69","66","3,222"
"Barnsley","59","2,088","!","6","33","15","N/A","0","71","35","59","2,018"
"Bradford","52","5,859","51","2,482","56","81","!","!","46","218","54","2,979"
"Calderdale","65","2,524","59","375","60","20","100","4","59","93","67","2,021"
"Doncaster","60","3,026","61","77","46","35","!","10","57","61","59","2,808"
"East Riding of Yorkshire","67","3,346","67","12","!","!","!","3","67","46","67","3,222"
"Kingston upon Hull, City of","51","2,255","71","17","48","23","!","!","57","44","53","2,028"
"Kirklees","61","4,534","60","1,139","51","85","100","10","47","225","63","3,029"
"Leeds","60","7,483","60","849","52","440","75","28","58","335","61","5,700"
"North East Lincolnshire","56","1,596","!","10","!","!","!","!","55","38","56","1,486"
"North Lincolnshire","64","1,856","79","62","73","11","100","4","58","19","64","1,751"
