"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"No identified SEN","70","67","72","73","70","75","66","61","70","86","81","90","69","67","72","70","67","72"
"All SEN","24","23","27","25","24","26","23","21","26","42","36","52","26","24","30","24","23","27"
"SEN Support","29","28","31","29","29","30","28","!","!","49","!","!","31","28","34","29","28","31"
"SEN with a statement or EHC plan","10","11","8","10","10","10","8","!","!","28","!","!","12","12","10","10","11","8"
