"","Asian","","Black","","Mixed","","White","","Other",""
"[None]","%","Officers","%","Officers","%","Officers","%","Officers","%","Officers"
"Constable","2.6","2,437","1.3","1,201","1.9","1,764","93.6","88,568","0.7","701"
"Sergeant","1.7","320","0.9","161","1.2","231","95.7","17,741","0.4","81"
"Inspector","1.6","87","0.8","47","1.1","64","96.1","5,385","0.4","23"
"Chief Inspector","0.9","14","0.7","11","1.4","22","96.9","1,516","0.1","1"
"Superintendent","2.0","16","0.9","7","1.5","12","95.4","752","0.1","1"
"Chief Superintendent","1.9","6","1.6","5","0.9","3","95.3","302","0.3","1"
"Chief Officer","0.6","1","0.6","1","0.0","0","98.9","172","0.0","0"
