"Title","Police workforce by ethnicity and area"
"Location","England and Wales"
"Time period","2016"
"Data source","Police workforce, England and Wales, 31 March 2016"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Police force area","%","% Population"
"Asian","All - excluding BTP","2.4","6.8"
"Asian","Avon & Somerset","0.3","2.1"
"Asian","Bedfordshire","3.5","13.2"
"Asian","British Transport Police","3.5","N/A"
"Asian","Cambridgeshire","0.8","4.9"
"Asian","Cheshire","0.4","1.2"
"Asian","Cleveland","1.2","3.1"
"Asian","Cumbria","0.4","0.6"
"Asian","Derbyshire","2.3","3.6"
"Asian","Devon & Cornwall","0.2","0.7"
"Asian","Dorset","0.2","1.4"
"Asian","Durham","0.5","0.8"
"Asian","Dyfed-Powys","0.2","0.8"
"Asian","Essex","0.3","2.3"
"Asian","Gloucestershire","0.5","1.8"
"Asian","Greater Manchester","2.1","9.2"
"Asian","Gwent","0.6","1.7"
"Asian","Hampshire","0.9","3.0"
"Asian","Hertfordshire","1.8","5.7"
"Asian","Humberside","0.3","1.3"
"Asian","Kent","1.1","3.1"
"Asian","Lancashire","2.2","7.4"
"Asian","Leicestershire","4.7","15.3"
"Asian","Lincolnshire","0.5","0.8"
"Asian","London, City of","2.3","9.2"
"Asian","Merseyside","0.3","1.4"
"Asian","Metropolitan Police","4.8","17.0"
"Asian","Norfolk","0.2","1.1"
"Asian","North Wales","0.1","0.9"
"Asian","North Yorkshire","0.3","1.2"
"Asian","Northamptonshire","1.0","3.3"
"Asian","Northumbria","0.4","2.7"
"Asian","Nottinghamshire","2.0","4.4"
"Asian","South Wales","0.5","2.8"
"Asian","South Yorkshire","1.8","4.1"
"Asian","Staffordshire","0.6","3.2"
"Asian","Suffolk","0.2","1.5"
"Asian","Surrey","1.2","4.8"
"Asian","Sussex","0.3","2.5"
"Asian","Thames Valley","1.7","8.5"
"Asian","Warwickshire","3.5","4.2"
"Asian","West Mercia","0.8","1.8"
"Asian","West Midlands","5.4","18.0"
"Asian","West Yorkshire","2.9","12.6"
"Asian","Wiltshire","0.8","2.6"
"Black","All - excluding BTP","1.2","3.3"
"Black","Avon & Somerset","0.6","1.9"
"Black","Bedfordshire","1.2","4.8"
"Black","British Transport Police","2.5","N/A"
"Black","Cambridgeshire","0.3","1.3"
"Black","Cheshire","0.0","0.3"
"Black","Cleveland","0.1","0.6"
"Black","Cumbria","0.2","0.1"
"Black","Derbyshire","0.3","1.0"
"Black","Devon & Cornwall","0.3","0.2"
"Black","Dorset","0.2","0.4"
"Black","Durham","0.1","0.2"
"Black","Dyfed-Powys","0.1","0.2"
"Black","Essex","0.2","2.0"
"Black","Gloucestershire","0.4","0.9"
"Black","Greater Manchester","0.6","2.8"
