"Title","Deposits paid by first-time buyers by ethnicity and socio-economic group"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"","Higher managerial, administrative and professional occupations","Intermediate occupations","Routine and manual occupations"
"Ethnicity","£","£","£"
"White British","48,443","42,541","37,130"
"Other than White British","82,161","41,728","15,234"
