"Title","Deposits paid by first-time buyers"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","Ministry of Housing, Communities and Local Government"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity_type","Ethnicity","NS-SEC","Value","Value_type","Sample_size"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-17","Two years","White British and Other","White British","All","45121","£","503"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-18","Two years","White British and Other","Other than White British","All","63074.3","£","160"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-19","Two years","White British and Other","White British","Higher managerial, administrative and professional occupations","48443","£","279"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-20","Two years","White British and Other","White British","Intermediate occupations","42541","£","93"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-21","Two years","White British and Other","White British","Routine and manual occupations","37129.9","£","125"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-22","Two years","White British and Other","Other than White British","Higher managerial, administrative and professional occupations","82160.6","£","94"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-23","Two years","White British and Other","Other than White British","Intermediate occupations","41728.4","£","22"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-24","Two years","White British and Other","Other than White British","Routine and manual occupations","15233.5","£","38"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-25","Two years","All","All","Higher managerial, administrative and professional occupations","55983.5","£","373"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-26","Two years","All","All","Intermediate occupations","42435.2","£","115"
"Average deposit paid by first-time buyers (in £)","2015-16 and 2016-27","Two years","All","All","Routine and manual occupations","32725.4","£","163"
