"Title","Participation in apprenticeships"
"Location","England"
"Time period","2008/09 to 2015/16"
"Data source","Education and Skills Funding Agency"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-01"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator"
"Percentage of participants in apprenticeships for each ethnic group","2012/13","Academic Year","Not known/not provided","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1","868700","9000"
"Percentage of participants in apprenticeships for each ethnic group","2013/14","Academic Year","Asian/Asian British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4","851500","34000"
"Percentage of participants in apprenticeships for each ethnic group","2013/14","Academic Year","Black/African/Caribbean/Black British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.2","851500","27400"
"Percentage of participants in apprenticeships for each ethnic group","2013/14","Academic Year","Mixed/Multiple Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2","851500","17000"
"Percentage of participants in apprenticeships for each ethnic group","2013/14","Academic Year","White","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","89.1","851500","758400"
"Percentage of participants in apprenticeships for each ethnic group","2013/14","Academic Year","Other Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.6","851500","5500"
"Percentage of participants in apprenticeships for each ethnic group","2013/14","Academic Year","Not known/not provided","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.1","851500","9100"
"Percentage of participants in apprenticeships for each ethnic group","2014/15","Academic Year","Asian/Asian British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4.2","871800","37000"
"Percentage of participants in apprenticeships for each ethnic group","2014/15","Academic Year","Black/African/Caribbean/Black British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.4","871800","29500"
"Percentage of participants in apprenticeships for each ethnic group","2014/15","Academic Year","Mixed/Multiple Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.1","871800","18300"
"Percentage of participants in apprenticeships for each ethnic group","2014/15","Academic Year","White","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","88.7","871800","773400"
"Percentage of participants in apprenticeships for each ethnic group","2014/15","Academic Year","Other Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.7","871800","5900"
"Percentage of participants in apprenticeships for each ethnic group","2014/15","Academic Year","Not known/not provided","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.9","871800","7600"
"Percentage of participants in apprenticeships for each ethnic group","2015/16","Academic Year","Asian/Asian British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4.3","899400","38400"
"Percentage of participants in apprenticeships for each ethnic group","2015/16","Academic Year","Black/African/Caribbean/Black British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.5","899400","31500"
"Percentage of participants in apprenticeships for each ethnic group","2015/16","Academic Year","Mixed/Multiple Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.1","899400","19100"
"Percentage of participants in apprenticeships for each ethnic group","2015/16","Academic Year","White","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","88","899400","791700"
"Percentage of participants in apprenticeships for each ethnic group","2015/16","Academic Year","Other Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.7","899400","6200"
"Percentage of participants in apprenticeships for each ethnic group","2015/16","Academic Year","Not known/not provided","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.4","899400","12500"
