"","All","Asian","Black","Mixed","White","Other"
"","","","","","",""
"All","19%","26%","20%","21%","18%","27%"
"Level 4 and above","12%","14%","10%","13%","11%","17%"
"Level 3","14%","21%","17%","13%","14%","27%"
"Level 2","21%","33%","27%","25%","20%","35%"
"Below Level 2","25%","37%","27%","33%","24%","41%"
"Other qualifications","21%","29%","29%","?","18%","29%"
"No qualifications","49%","56%","54%","53%","48%","52%"
