"","All","Asian","Black","Mixed","White","Other"
"","","","","","",""
"All","13%","13%","14%","17%","13%","16%"
"Level 4 and above","8%","6%","5%","9%","8%","8%"
"Level 3","11%","11%","10%","10%","10%","19%"
"Level 2","15%","23%","25%","19%","14%","32%"
"Below Level 2","16%","18%","20%","?","16%","?"
"Other qualifications","13%","13%","15%","?","13%","16%"
"No qualifications","39%","31%","45%","?","40%","31%"
