"Title","Percentage of offenders who reoffend by ethnicity"
"Location","England and Wales"
"Time period","2004-2014"
"Data source","NOMS Offender Equalities Statistics Bulletin https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time","Ethnicity","Value","Denominator","Numerator"
"2004","Asian","22.2","29193","6484"
"2004","Black","31.1","47554","14807"
"2004","Not Recorded","7.5","22980","1717"
"2004","Other","19.5","6512","1272"
"2004","White","28.1","553933","155777"
"2005","Asian","22.8","31510","7174"
"2005","Black","31.5","50260","15854"
"2005","Not Recorded","7","28006","1965"
"2005","Other","20.4","7091","1447"
"2005","White","27.8","576417","160235"
"2006","Asian","22.6","34383","7757"
"2006","Black","31.1","54751","17028"
"2006","Not Recorded","6.5","33820","2192"
"2006","Other","20.3","7344","1494"
"2006","White","27.7","604969","167371"
"2007","Asian","22.2","36264","8041"
"2007","Black","30.8","57684","17792"
"2007","Not Recorded","6.8","29422","1989"
"2007","Other","20.5","7392","1513"
"2007","White","27.3","626903","171164"
"2008","Asian","21.7","37605","8166"
"2008","Black","30.1","59094","17812"
"2008","Not Recorded","8.9","18959","1684"
"2008","Other","18.7","8017","1498"
"2008","White","27.6","602770","166095"
"2009","Asian","21.4","36754","7865"
"2009","Black","29.3","57717","16900"
"2009","Not Recorded","8.6","16733","1433"
"2009","Other","18.4","8263","1518"
"2009","White","26.9","570592","153530"
"2010","Asian","21.3","35099","7470"
"2010","Black","29.8","54503","16219"
"2010","Not Recorded","8.9","15527","1389"
"2010","Other","18.1","8170","1479"
"2010","White","27.3","527781","144286"
"2011","Asian","21.3","32800","6985"
"2011","Black","30","51322","15395"
"2011","Not Recorded","7.9","17110","1359"
"2011","Other","17.8","7594","1349"
"2011","White","27.5","497099","136894"
"2012","Asian","20.6","30301","6247"
"2012","Black","29.7","46858","13914"
"2012","Not Recorded","7.4","16618","1233"
"2012","Other","17.9","6880","1231"
"2012","White","26.8","453864","121584"
"2013","Asian","20.6","28988","5971"
"2013","Black","29.8","44299","13200"
"2013","Not Recorded","7.2","16745","1198"
"2013","Other","19.3","6336","1221"
"2013","White","27.4","417320","114413"
"2014","Asian","20.4","27161","5539"
"2014","Black","29.1","42639","12391"
"2014","Not Recorded","6","19305","1156"
"2014","Other","18.2","5992","1090"
"2014","White","26.6","392478","104489"
