"Title","Percentage of offenders who reoffend by ethnicity and area"
"Location","England and Wales"
"Time period","2015"
"Data source","NOMS Offender Equalities Statistics Bulletin https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Year","Age Group","Age Range","Region","Ethnic Group","Percentage of offenders who reoffend","Number of reoffenders","Number of offenders in cohort"
"2015","All","All","East Midlands","Asian","18.3","305","1668"
"2015","All","All","East Midlands","Black","28.8","673","2335"
"2015","All","All","East Midlands","Not Recorded","3.4","49","1449"
"2015","All","All","East Midlands","Other","14.8","37","250"
"2015","All","All","East Midlands","White","25.9","8056","31097"
"2015","All","All","East of England","Asian","18","296","1643"
"2015","All","All","East of England","Black","26.4","740","2808"
"2015","All","All","East of England","Not Recorded","5.8","93","1605"
"2015","All","All","East of England","Other","15.5","56","361"
"2015","All","All","East of England","White","23.9","9293","38808"
"2015","All","All","London","Asian","21.5","2144","9950"
"2015","All","All","London","Black","29.6","6697","22608"
"2015","All","All","London","Not Recorded","10","225","2241"
"2015","All","All","London","Other","19.3","558","2893"
"2015","All","All","London","White","25.2","10843","43108"
"2015","All","All","North East","Asian","19.6","105","536"
"2015","All","All","North East","Black","34.3","124","362"
"2015","All","All","North East","Not Recorded","4.6","33","721"
"2015","All","All","North East","Other","21.6","32","148"
"2015","All","All","North East","White","30.9","8393","27196"
"2015","All","All","North West","Asian","19.6","537","2738"
"2015","All","All","North West","Black","26.7","677","2535"
"2015","All","All","North West","Not Recorded","5.1","181","3545"
"2015","All","All","North West","Other","16.6","78","469"
"2015","All","All","North West","White","27.2","16055","58929"
"2015","All","All","South East","Asian","19","476","2503"
"2015","All","All","South East","Black","27.6","870","3154"
"2015","All","All","South East","Not Recorded","7.7","290","3745"
"2015","All","All","South East","Other","13.8","68","493"
"2015","All","All","South East","White","24.1","12308","51131"
"2015","All","All","South West","Asian","20.1","100","498"
"2015","All","All","South West","Black","30.9","482","1559"
"2015","All","All","South West","Not Recorded","5.2","87","1662"
"2015","All","All","South West","Other","17.6","46","261"
"2015","All","All","South West","White","25.3","8217","32523"
"2015","All","All","Unknown","Asian","10","3","30"
"2015","All","All","Unknown","Black","5.4","2","37"
"2015","All","All","Unknown","Not Recorded","0","0","77"
"2015","All","All","Unknown","Other","3.4","1","29"
"2015","All","All","Unknown","White","16.9","35","207"
"2015","All","All","Wales","Asian","24","109","454"
"2015","All","All","Wales","Black","33.5","190","568"
"2015","All","All","Wales","Not Recorded","2.9","24","835"
"2015","All","All","Wales","Other","20","37","185"
"2015","All","All","Wales","White","28.5","8046","28212"
"2015","All","All","West Midlands","Asian","21","845","4018"
"2015","All","All","West Midlands","Black","28.3","1191","4202"
"2015","All","All","West Midlands","Not Recorded","5.4","87","1599"
"2015","All","All","West Midlands","Other","19.7","84","426"
"2015","All","All","West Midlands","White","26.2","8729","33301"
"2015","All","All","Yorkshire and The Humber","Asian","20.9","578","2772"
"2015","All","All","Yorkshire and The Humber","Black","27.3","529","1938"
"2015","All","All","Yorkshire and The Humber","Not Recorded","2.8","53","1920"
"2015","All","All","Yorkshire and The Humber","Other","12.8","45","351"
"2015","All","All","Yorkshire and The Humber","White","28.3","10959","38700"
