"Title","People claiming Employment and Support Allowance by ethnicity and region"
"Location","England and Wales"
"Time period","2015"
"Data source","Nomis https://www.nomisweb.co.uk/"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Date","Region","Ethnicity","Value"
"2015","East","White","3.4"
"2015","East Midlands","White","4.2"
"2015","London","White","3.3"
"2015","North East","White","6.2"
"2015","North West","White","5.9"
"2015","South East","White","3.1"
"2015","South West","White","3.9"
"2015","Wales","White","6.2"
"2015","West Midlands","White","4.5"
"2015","Yorkshire and The Humber","White","4.8"
"2015","East","Other","2.1"
"2015","East Midlands","Other","3"
"2015","London","Other","3.7"
"2015","North East","Other","2.5"
"2015","North West","Other","3.7"
"2015","South East","Other","1.8"
"2015","South West","Other","2.6"
"2015","Wales","Other","2.6"
"2015","West Midlands","Other","3.9"
"2015","Yorkshire and The Humber","Other","3.7"
