"Gender","Ethnicity","Score","Pupils"
"Boys","All","-0.17","260,504"
"Boys","Asian","0.17","23,895"
"Boys","Bangladeshi","0.18","3,954"
"Boys","Indian","0.35","6,522"
"Boys","Pakistani","-0.03","9,802"
"Boys","Asian other","0.35","3,617"
"Boys","Black","-0.01","12,056"
"Boys","Black African","0.17","7,307"
"Boys","Black Caribbean","-0.35","3,353"
"Boys","Black other","-0.12","1,396"
"Boys","Chinese","0.56","816"
"Boys","Mixed","-0.19","10,745"
"Boys","Mixed White/Asian","-0.02","2,367"
"Boys","Mixed White/Black African","-0.14","1,232"
"Boys","Mixed White/Black Caribbean","-0.44","3,539"
"Boys","Mixed other","-0.06","3,607"
"Boys","White","-0.22","207,213"
"Boys","White British","-0.24","197,273"
"Boys","White Irish","-0.08","800"
"Boys","White Irish Traveller","-1.32","61"
"Boys","White Gypsy/Roma","-0.75","325"
"Boys","White other","0.27","8,754"
"Boys","Other","0.35","3,245"
"Boys","Unknown","-0.44","2,534"
"Girls","All","0.11","251,580"
"Girls","Asian","0.46","22,499"
"Girls","Bangladeshi","0.48","3,846"
"Girls","Indian","0.59","6,042"
"Girls","Pakistani","0.30","9,230"
"Girls","Asian other","0.63","3,381"
"Girls","Black","0.35","12,209"
"Girls","Black African","0.51","7,351"
"Girls","Black Caribbean","0.05","3,455"
"Girls","Black other","0.30","1,403"
"Girls","Chinese","0.80","790"
"Girls","Mixed","0.10","10,566"
"Girls","Mixed White/Asian","0.21","2,350"
"Girls","Mixed White/Black African","0.21","1,191"
"Girls","Mixed White/Black Caribbean","-0.09","3,479"
"Girls","Mixed other","0.19","3,546"
"Girls","White","0.05","200,058"
"Girls","White British","0.03","190,237"
"Girls","White Irish","0.22","829"
"Girls","White Irish Traveller","-0.97","53"
"Girls","White Gypsy/Roma","-0.63","364"
"Girls","White other","0.57","8,575"
"Girls","Other","0.60","3,062"
"Girls","Unknown","-0.20","2,396"
