"Ethnicity","Local Authority","All","Boys","Girls"
"Black","Portsmouth","0.87","0.80","0.96"
"Black","Reading","0.09","0.06","0.11"
"Black","Redbridge","0.21","-0.05","0.44"
"Black","Redcar and Cleveland","!","!","N/A"
"Black","Richmond upon Thames","-0.04","-0.31","0.25"
"Black","Rochdale","0.69","0.42","0.95"
"Black","Rotherham","0.65","0.61","0.69"
"Black","Rutland","0.37","!","!"
"Black","Salford","0.47","0.40","0.56"
"Black","Sandwell","-0.14","-0.24","-0.03"
"Black","Sefton","0.27","0.02","0.56"
"Black","Sheffield","0.27","0.16","0.38"
"Black","Shropshire","0.16","!","!"
"Black","Slough","0.28","0.05","0.53"
"Black","Solihull","-0.10","-0.41","0.15"
"Black","Somerset","-0.01","-0.38","0.36"
"Black","South Gloucestershire","-0.20","-0.24","-0.12"
"Black","South Tyneside","-0.18","!","!"
"Black","Southampton","0.59","0.61","0.57"
"Black","Southend-on-Sea","0.38","0.31","0.44"
"Black","Southwark","0.34","0.23","0.43"
"Black","St. Helens","-0.08","!","!"
"Black","Staffordshire","0.20","-0.20","0.41"
"Black","Stockport","0.36","0.19","0.70"
"Black","Stockton-on-Tees","!","0.47","!"
"Black","Stoke-on-Trent","0.10","-0.02","0.23"
"Black","Suffolk","0.35","0.13","0.51"
"Black","Sunderland","0.22","-0.37","0.55"
"Black","Surrey","0.32","0.12","0.57"
"Black","Sutton","0.27","0.09","0.45"
"Black","Swindon","0.19","0.08","0.30"
"Black","Tameside","0.64","0.64","0.64"
"Black","Telford and Wrekin","0.34","0.31","0.36"
"Black","Thurrock","0.48","0.44","0.50"
"Black","Torbay","0.40","0.75","0.06"
"Black","Tower Hamlets","0.17","0.08","0.26"
"Black","Trafford","0.08","-0.07","0.22"
"Black","Wakefield","0.31","0.34","0.24"
"Black","Walsall","0.12","-0.08","0.37"
"Black","Waltham Forest","0.07","-0.18","0.27"
"Black","Wandsworth","0.02","-0.12","0.18"
"Black","Warrington","0.19","0.22","0.17"
"Black","Warwickshire","0.24","-0.32","0.66"
"Black","West Berkshire","-0.19","-0.15","-0.23"
"Black","West Sussex","0.21","0.19","0.22"
"Black","Westminster","0.10","-0.16","0.45"
"Black","Wigan","0.15","-0.11","0.28"
"Black","Wiltshire","0.35","0.37","0.34"
"Black","Windsor and Maidenhead","-0.10","-0.38","0.43"
"Black","Wirral","0.83","!","!"
"Black","Wokingham","0.36","0.01","0.72"
"Black","Wolverhampton","0.04","-0.22","0.31"
"Black","Worcestershire","0.27","0.11","0.51"
"Black","York","0.69","0.55","0.78"
"Mixed","All - England","-0.04","-0.19","0.10"
"Mixed","Barking and Dagenham","-0.10","-0.33","0.12"
"Mixed","Barnet","0.31","0.11","0.49"
"Mixed","Barnsley","-0.20","-0.19","-0.21"
"Mixed","Bath and North East Somerset","-0.36","-0.65","-0.04"
"Mixed","Bedford","-0.04","-0.30","0.19"
"Mixed","Bexley","-0.12","-0.22","0.00"
"Mixed","Birmingham","-0.05","-0.19","0.09"
"Mixed","Blackburn with Darwen","0.11","-0.17","0.39"
"Mixed","Blackpool","0.12","-0.27","0.50"
"Mixed","Bolton","-0.25","-0.39","-0.09"
"Mixed","Bournemouth","0.12","0.18","0.07"
"Mixed","Bracknell Forest","0.21","0.28","0.11"
"Mixed","Bradford","-0.35","-0.54","-0.18"
"Mixed","Brent","-0.11","-0.22","0.01"
"Mixed","Brighton and Hove","0.18","0.03","0.37"
"Mixed","Bristol, City of","-0.30","-0.41","-0.18"
"Mixed","Bromley","0.19","0.08","0.29"
"Mixed","Buckinghamshire","-0.13","-0.29","0.02"
"Mixed","Bury","-0.09","-0.13","-0.05"
"Mixed","Calderdale","-0.05","-0.13","0.01"
"Mixed","Cambridgeshire","0.17","0.04","0.32"
"Mixed","Camden","-0.31","-0.55","-0.13"
"Mixed","Central Bedfordshire","-0.07","-0.27","0.14"
"Mixed","Cheshire East","-0.31","-0.43","-0.17"
"Mixed","Cheshire West and Chester","0.18","-0.01","0.36"
"Mixed","City of London","N/A","N/A","N/A"
"Mixed","Cornwall","0.09","0.25","-0.05"
"Mixed","County Durham","-0.03","-0.87","0.34"
"Mixed","Coventry","-0.24","-0.41","-0.05"
"Mixed","Croydon","-0.08","-0.18","0.00"
"Mixed","Cumbria","0.11","0.19","0.05"
"Mixed","Darlington","-0.35","!","!"
"Mixed","Derby","-0.31","-0.39","-0.24"
"Mixed","Derbyshire","-0.29","-0.45","-0.14"
"Mixed","Devon","0.06","-0.06","0.21"
"Mixed","Doncaster","-0.04","-0.27","0.17"
"Mixed","Dorset","-0.07","-0.02","-0.15"
"Mixed","Dudley","-0.36","-0.40","-0.31"
"Mixed","Ealing","0.11","-0.14","0.31"
"Mixed","East Riding of Yorkshire","0.09","-0.09","0.33"
"Mixed","East Sussex","0.11","-0.06","0.29"
"Mixed","Enfield","-0.13","-0.34","0.13"
"Mixed","Essex","0.05","-0.06","0.16"
"Mixed","Gateshead","0.27","0.44","0.08"
"Mixed","Gloucestershire","-0.25","-0.55","0.05"
"Mixed","Greenwich","-0.11","-0.22","-0.02"
"Mixed","Hackney","0.27","0.19","0.32"
"Mixed","Halton","-0.01","-0.10","0.10"
"Mixed","Hammersmith and Fulham","-0.03","-0.27","0.26"
"Mixed","Hampshire","-0.09","-0.34","0.20"
"Mixed","Haringey","0.18","0.09","0.26"
"Mixed","Harrow","0.10","-0.14","0.30"
"Mixed","Hartlepool","-0.12","!","!"
"Mixed","Havering","-0.14","-0.23","-0.05"
"Mixed","Herefordshire, County of","0.91","0.51","1.48"
"Mixed","Hertfordshire","0.02","-0.14","0.19"
"Mixed","Hillingdon","0.10","0.02","0.18"
"Mixed","Hounslow","0.31","0.20","0.40"
"Mixed","Isle of Wight","-0.31","-0.46","-0.02"
"Mixed","Isles of Scilly","N/A","N/A","N/A"
"Mixed","Islington","0.04","-0.03","0.16"
"Mixed","Kensington and Chelsea","0.26","0.25","0.28"
"Mixed","Kent","0.11","0.02","0.20"
"Mixed","Kingston upon Hull, City of","0.31","0.24","0.46"
"Mixed","Kingston upon Thames","0.37","0.24","0.45"
"Mixed","Kirklees","-0.28","-0.50","-0.03"
"Mixed","Knowsley","-0.44","-0.18","-0.76"
"Mixed","Lambeth","-0.05","-0.14","0.08"
"Mixed","Lancashire","-0.14","-0.31","0.01"
"Mixed","Leeds","-0.19","-0.36","-0.01"
"Mixed","Leicester","-0.52","-0.64","-0.39"
"Mixed","Leicestershire","-0.03","-0.17","0.14"
"Mixed","Lewisham","-0.21","-0.32","-0.09"
"Mixed","Lincolnshire","0.20","0.09","0.33"
"Mixed","Liverpool","-0.47","-0.63","-0.31"
"Mixed","Luton","-0.25","-0.41","-0.11"
"Mixed","Manchester","-0.28","-0.33","-0.24"
"Mixed","Medway","0.04","-0.15","0.16"
"Mixed","Merton","0.23","0.22","0.24"
"Mixed","Middlesbrough","0.24","0.00","0.42"
"Mixed","Milton Keynes","-0.12","-0.25","0.02"
"Mixed","Newcastle upon Tyne","0.43","0.21","0.65"
"Mixed","Newham","-0.18","-0.42","0.07"
"Mixed","Norfolk","0.07","-0.03","0.18"
"Mixed","North East Lincolnshire","0.13","0.07","0.25"
"Mixed","North Lincolnshire","0.37","0.17","0.54"
"Mixed","North Somerset","0.18","0.00","0.36"
"Mixed","North Tyneside","0.26","0.46","0.09"
"Mixed","North Yorkshire","0.18","0.14","0.23"
"Mixed","Northamptonshire","-0.05","-0.20","0.09"
"Mixed","Northumberland","0.24","0.46","0.11"
"Mixed","Nottingham","-0.49","-0.60","-0.39"
"Mixed","Nottinghamshire","-0.20","-0.43","0.06"
"Mixed","Oldham","-0.45","-0.50","-0.42"
"Mixed","Oxfordshire","-0.05","-0.09","-0.01"
"Mixed","Peterborough","-0.01","-0.29","0.27"
"Mixed","Plymouth","0.02","-0.42","0.31"
"Mixed","Poole","0.25","0.12","0.39"
"Mixed","Portsmouth","0.41","0.21","0.57"
"Mixed","Reading","-0.49","-0.41","-0.57"
"Mixed","Redbridge","-0.01","-0.39","0.36"
"Mixed","Redcar and Cleveland","0.00","-0.26","0.21"
"Mixed","Richmond upon Thames","-0.02","-0.33","0.28"
"Mixed","Rochdale","0.13","0.14","0.12"
"Mixed","Rotherham","-0.19","-0.41","0.09"
"Mixed","Rutland","0.02","-0.33","0.23"
"Mixed","Salford","-0.08","-0.12","-0.04"
"Mixed","Sandwell","-0.39","-0.44","-0.31"
"Mixed","Sefton","-0.07","-0.12","-0.02"
"Mixed","Sheffield","-0.12","-0.44","0.19"
"Mixed","Shropshire","0.03","-0.11","0.26"
"Mixed","Slough","0.09","-0.14","0.36"
"Mixed","Solihull","-0.21","-0.24","-0.18"
"Mixed","Somerset","0.17","0.09","0.23"
"Mixed","South Gloucestershire","-0.14","-0.03","-0.29"
"Mixed","South Tyneside","-0.32","-0.29","-0.39"
"Mixed","Southampton","-0.09","-0.20","-0.01"
"Mixed","Southend-on-Sea","-0.12","-0.21","-0.04"
"Mixed","Southwark","0.03","-0.03","0.11"
"Mixed","St. Helens","-0.09","-0.55","0.31"
"Mixed","Staffordshire","-0.06","-0.25","0.11"
"Mixed","Stockport","0.16","-0.06","0.45"
"Mixed","Stockton-on-Tees","-0.27","-0.25","-0.30"
"Mixed","Stoke-on-Trent","0.02","-0.09","0.14"
"Mixed","Suffolk","0.07","-0.11","0.21"
"Mixed","Sunderland","0.09","-0.56","0.60"
"Mixed","Surrey","0.20","0.07","0.34"
"Mixed","Sutton","0.15","-0.08","0.39"
"Mixed","Swindon","-0.09","-0.26","0.08"
"Mixed","Tameside","-0.07","-0.43","0.38"
"Mixed","Telford and Wrekin","-0.08","-0.21","0.06"
"Mixed","Thurrock","0.29","0.15","0.45"
"Mixed","Torbay","0.27","0.40","0.16"
"Mixed","Tower Hamlets","-0.45","-0.48","-0.41"
"Mixed","Trafford","0.05","0.00","0.10"
"Mixed","Wakefield","0.12","-0.16","0.33"
"Mixed","Walsall","-0.40","-0.63","-0.13"
"Mixed","Waltham Forest","0.03","-0.07","0.12"
"Mixed","Wandsworth","-0.04","-0.26","0.22"
"Mixed","Warrington","-0.25","-0.41","-0.02"
"Mixed","Warwickshire","-0.01","0.01","-0.03"
"Mixed","West Berkshire","0.14","0.00","0.24"
"Mixed","West Sussex","0.15","0.09","0.21"
"Mixed","Westminster","0.24","0.02","0.44"
"Mixed","Wigan","0.08","-0.22","0.29"
"Mixed","Wiltshire","-0.06","-0.18","0.08"
"Mixed","Windsor and Maidenhead","0.44","0.40","0.47"
"Mixed","Wirral","-0.14","-0.31","0.03"
"Mixed","Wokingham","-0.12","-0.31","0.15"
"Mixed","Wolverhampton","-0.32","-0.48","-0.18"
"Mixed","Worcestershire","0.05","-0.15","0.30"
"Mixed","York","0.42","0.12","0.72"
"White","All - England","-0.09","-0.22","0.05"
"White","Barking and Dagenham","-0.06","-0.21","0.10"
"White","Barnet","0.27","0.15","0.39"
"White","Barnsley","-0.22","-0.36","-0.09"
"White","Bath and North East Somerset","-0.01","-0.07","0.04"
"White","Bedford","0.07","-0.07","0.21"
"White","Bexley","-0.17","-0.28","-0.06"
"White","Birmingham","-0.11","-0.26","0.05"
"White","Blackburn with Darwen","-0.18","-0.34","-0.02"
"White","Blackpool","-0.40","-0.48","-0.33"
"White","Bolton","-0.35","-0.49","-0.18"
"White","Bournemouth","-0.06","-0.24","0.12"
"White","Bracknell Forest","0.05","-0.07","0.18"
"White","Bradford","-0.26","-0.41","-0.11"
"White","Brent","0.28","0.11","0.46"
"White","Brighton and Hove","-0.02","-0.14","0.10"
"White","Bristol, City of","-0.26","-0.43","-0.09"
"White","Bromley","0.12","0.03","0.21"
"White","Buckinghamshire","0.00","-0.17","0.16"
"White","Bury","-0.12","-0.27","0.05"
"White","Calderdale","-0.07","-0.19","0.06"
"White","Cambridgeshire","0.08","-0.08","0.24"
"White","Camden","-0.10","-0.45","0.14"
"White","Central Bedfordshire","-0.08","-0.22","0.05"
"White","Cheshire East","-0.15","-0.28","-0.02"
"White","Cheshire West and Chester","0.03","-0.15","0.22"
"White","City of London","N/A","N/A","N/A"
"White","Cornwall","0.03","-0.10","0.15"
"White","County Durham","-0.12","-0.24","0.00"
"White","Coventry","-0.22","-0.33","-0.09"
"White","Croydon","0.01","-0.23","0.21"
"White","Cumbria","-0.23","-0.40","-0.06"
"White","Darlington","-0.39","-0.54","-0.23"
"White","Derby","-0.22","-0.37","-0.06"
"White","Derbyshire","-0.27","-0.41","-0.13"
"White","Devon","-0.03","-0.16","0.11"
"White","Doncaster","-0.24","-0.37","-0.09"
"White","Dorset","-0.06","-0.16","0.05"
"White","Dudley","-0.26","-0.40","-0.10"
"White","Ealing","0.17","-0.01","0.37"
"White","East Riding of Yorkshire","0.09","-0.03","0.22"
"White","East Sussex","0.04","-0.09","0.16"
"White","Enfield","0.02","-0.13","0.18"
"White","Essex","-0.02","-0.14","0.10"
"White","Gateshead","-0.19","-0.24","-0.13"
"White","Gloucestershire","-0.05","-0.17","0.08"
"White","Greenwich","-0.23","-0.33","-0.13"
"White","Hackney","0.39","0.24","0.50"
"White","Halton","-0.19","-0.31","-0.08"
"White","Hammersmith and Fulham","0.15","0.05","0.24"
"White","Hampshire","-0.05","-0.20","0.11"
"White","Haringey","0.35","0.30","0.40"
"White","Harrow","0.19","-0.03","0.40"
"White","Hartlepool","-0.34","-0.51","-0.19"
"White","Havering","-0.21","-0.32","-0.10"
"White","Herefordshire, County of","-0.05","-0.23","0.17"
"White","Hertfordshire","0.02","-0.13","0.18"
"White","Hillingdon","-0.23","-0.30","-0.15"
"White","Hounslow","0.18","0.11","0.25"
"White","Isle of Wight","-0.33","-0.52","-0.14"
"White","Isles of Scilly","-0.05","0.13","-0.22"
"White","Islington","0.03","-0.06","0.15"
"White","Kensington and Chelsea","0.31","0.23","0.46"
"White","Kent","-0.08","-0.23","0.07"
"White","Kingston upon Hull, City of","0.05","0.00","0.10"
"White","Kingston upon Thames","0.23","0.15","0.30"
"White","Kirklees","-0.19","-0.36","-0.01"
"White","Knowsley","-0.91","-1.08","-0.71"
"White","Lambeth","0.20","0.05","0.39"
"White","Lancashire","-0.14","-0.28","0.01"
"White","Leeds","-0.09","-0.23","0.05"
"White","Leicester","-0.55","-0.72","-0.37"
"White","Leicestershire","-0.19","-0.35","-0.02"
"White","Lewisham","-0.21","-0.34","-0.04"
"White","Lincolnshire","-0.12","-0.27","0.03"
"White","Liverpool","-0.38","-0.46","-0.30"
"White","Luton","-0.23","-0.34","-0.11"
"White","Manchester","-0.32","-0.46","-0.17"
"White","Medway","-0.01","-0.09","0.08"
"White","Merton","0.21","0.01","0.41"
"White","Middlesbrough","-0.22","-0.31","-0.14"
"White","Milton Keynes","-0.23","-0.37","-0.09"
"White","Newcastle upon Tyne","-0.19","-0.23","-0.15"
"White","Newham","-0.07","-0.17","0.06"
"White","Norfolk","0.00","-0.11","0.12"
"White","North East Lincolnshire","-0.08","-0.18","0.01"
"White","North Lincolnshire","0.06","-0.05","0.18"
"White","North Somerset","-0.13","-0.27","0.02"
"White","North Tyneside","-0.06","-0.16","0.04"
"White","North Yorkshire","0.03","-0.10","0.16"
"White","Northamptonshire","-0.18","-0.35","-0.01"
"White","Northumberland","-0.16","-0.24","-0.07"
"White","Nottingham","-0.52","-0.67","-0.37"
"White","Nottinghamshire","-0.04","-0.17","0.09"
"White","Oldham","-0.49","-0.73","-0.24"
"White","Oxfordshire","-0.02","-0.19","0.15"
"White","Peterborough","-0.10","-0.27","0.06"
"White","Plymouth","-0.16","-0.32","0.01"
"White","Poole","0.01","-0.16","0.20"
"White","Portsmouth","-0.26","-0.42","-0.08"
"White","Reading","-0.25","-0.34","-0.12"
"White","Redbridge","0.14","-0.03","0.31"
"White","Redcar and Cleveland","-0.31","-0.42","-0.19"
"White","Richmond upon Thames","0.08","-0.05","0.20"
"White","Rochdale","-0.22","-0.34","-0.10"
"White","Rotherham","0.02","-0.08","0.13"
"White","Rutland","0.29","0.14","0.47"
"White","Salford","-0.37","-0.48","-0.27"
"White","Sandwell","-0.52","-0.63","-0.40"
"White","Sefton","-0.21","-0.38","-0.03"
"White","Sheffield","-0.05","-0.18","0.09"
"White","Shropshire","-0.05","-0.20","0.09"
"White","Slough","-0.05","-0.16","0.06"
"White","Solihull","-0.12","-0.25","0.03"
"White","Somerset","0.02","-0.12","0.16"
"White","South Gloucestershire","-0.25","-0.33","-0.16"
"White","South Tyneside","-0.17","-0.30","-0.05"
"White","Southampton","-0.23","-0.37","-0.10"
"White","Southend-on-Sea","-0.07","-0.14","-0.01"
"White","Southwark","-0.01","-0.09","0.06"
"White","St. Helens","-0.33","-0.46","-0.19"
"White","Staffordshire","-0.11","-0.27","0.05"
"White","Stockport","-0.01","-0.14","0.11"
"White","Stockton-on-Tees","-0.20","-0.33","-0.05"
"White","Stoke-on-Trent","-0.15","-0.27","-0.03"
"White","Suffolk","0.00","-0.11","0.12"
"White","Sunderland","-0.20","-0.28","-0.12"
"White","Surrey","0.10","-0.04","0.25"
"White","Sutton","0.00","-0.15","0.16"
"White","Swindon","-0.24","-0.40","-0.08"
"White","Tameside","-0.22","-0.28","-0.16"
"White","Telford and Wrekin","-0.17","-0.32","0.00"
"White","Thurrock","-0.11","-0.26","0.04"
"White","Torbay","-0.02","-0.13","0.11"
"White","Tower Hamlets","-0.43","-0.54","-0.30"
"White","Trafford","0.01","-0.12","0.13"
"White","Wakefield","0.04","-0.10","0.20"
"White","Walsall","-0.36","-0.51","-0.19"
"White","Waltham Forest","0.21","0.07","0.35"
"White","Wandsworth","0.10","-0.01","0.20"
"White","Warrington","-0.18","-0.31","-0.03"
"White","Warwickshire","-0.01","-0.11","0.10"
"White","West Berkshire","0.10","-0.04","0.24"
"White","West Sussex","0.08","-0.05","0.22"
"White","Westminster","0.30","0.00","0.49"
"White","Wigan","-0.10","-0.26","0.06"
"White","Wiltshire","0.00","-0.13","0.13"
"White","Windsor and Maidenhead","0.13","0.06","0.19"
"White","Wirral","-0.06","-0.22","0.08"
"White","Wokingham","0.18","-0.03","0.39"
"White","Wolverhampton","-0.29","-0.48","-0.11"
"White","Worcestershire","0.03","-0.12","0.18"
"White","York","0.03","-0.09","0.15"
