"Title","Pupil progress (‘Progress 8’)  by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Local Authority","Score","Pupils"
"All pupils","Wakefield","0.06","3,535"
"All pupils","Walsall","-0.24","3,158"
"All pupils","Waltham Forest","0.23","2,301"
"All pupils","Wandsworth","0.15","1,484"
"All pupils","Warrington","-0.16","2,303"
"All pupils","Warwickshire","0.02","5,395"
"All pupils","West Berkshire","0.07","1,833"
"All pupils","West Sussex","0.10","7,751"
"All pupils","Westminster","0.32","1,430"
"All pupils","Wigan","-0.09","3,348"
"All pupils","Wiltshire","0.01","4,639"
"All pupils","Windsor and Maidenhead","0.16","1,342"
"All pupils","Wirral","-0.04","3,269"
"All pupils","Wokingham","0.19","1,517"
"All pupils","Wolverhampton","-0.13","2,330"
"All pupils","Worcestershire","0.04","5,407"
"All pupils","York","0.05","1,519"
"Asian","All - England","0.31","46,394"
"Asian","Barking and Dagenham","0.54","374"
"Asian","Barnet","0.58","450"
"Asian","Barnsley","0.90","4"
"Asian","Bath and North East Somerset","0.30","21"
"Asian","Bedford","0.43","260"
"Asian","Bexley","0.31","184"
"Asian","Birmingham","0.03","4,354"
"Asian","Blackburn with Darwen","0.47","711"
"Asian","Blackpool","0.80","16"
"Asian","Bolton","0.27","579"
"Asian","Bournemouth","1.16","33"
"Asian","Bracknell Forest","0.78","38"
"Asian","Bradford","-0.02","2,371"
"Asian","Brent","0.52","747"
"Asian","Brighton and Hove","0.44","70"
"Asian","Bristol, City of","0.33","222"
"Asian","Bromley","0.65","147"
"Asian","Buckinghamshire","0.12","784"
"Asian","Bury","0.32","220"
"Asian","Calderdale","0.16","363"
"Asian","Cambridgeshire","0.56","168"
"Asian","Camden","0.11","260"
"Asian","Central Bedfordshire","0.27","42"
"Asian","Cheshire East","0.32","49"
"Asian","Cheshire West and Chester","0.66","27"
"Asian","City of London","N/A","N/A"
"Asian","Cornwall","0.67","18"
"Asian","County Durham","0.74","30"
"Asian","Coventry","0.47","614"
"Asian","Croydon","0.47","391"
"Asian","Cumbria","0.51","23"
"Asian","Darlington","-0.08","20"
"Asian","Derby","0.02","446"
"Asian","Derbyshire","-0.04","72"
"Asian","Devon","0.56","26"
"Asian","Doncaster","0.25","67"
"Asian","Dorset","0.43","37"
"Asian","Dudley","0.10","282"
"Asian","Ealing","0.42","635"
"Asian","East Riding of Yorkshire","0.19","10"
"Asian","East Sussex","0.90","53"
"Asian","Enfield","0.30","298"
"Asian","Essex","0.49","287"
"Asian","Gateshead","0.85","34"
"Asian","Gloucestershire","0.49","133"
"Asian","Greenwich","0.66","177"
"Asian","Hackney","0.45","267"
"Asian","Halton","!","!"
"Asian","Hammersmith and Fulham","0.23","95"
"Asian","Hampshire","0.55","288"
"Asian","Haringey","0.39","121"
"Asian","Harrow","0.46","790"
"Asian","Hartlepool","0.30","14"
"Asian","Havering","0.40","104"
"Asian","Herefordshire, County of","0.77","5"
"Asian","Hertfordshire","0.44","777"
"Asian","Hillingdon","0.43","690"
"Asian","Hounslow","0.62","624"
"Asian","Isle of Wight","-0.06","10"
"Asian","Isles of Scilly","N/A","0"
"Asian","Islington","0.51","169"
"Asian","Kensington and Chelsea","0.49","22"
"Asian","Kent","0.61","474"
"Asian","Kingston upon Hull, City of","0.43","15"
"Asian","Kingston upon Thames","0.58","316"
"Asian","Kirklees","0.12","1,097"
"Asian","Knowsley","!","!"
"Asian","Lambeth","0.32","70"
"Asian","Lancashire","0.20","1,073"
"Asian","Leeds","0.08","804"
"Asian","Leicester","0.19","1,406"
"Asian","Leicestershire","0.64","475"
"Asian","Lewisham","0.41","114"
"Asian","Lincolnshire","0.50","66"
"Asian","Liverpool","0.31","108"
"Asian","Luton","0.22","901"
"Asian","Manchester","0.44","837"
"Asian","Medway","0.66","150"
"Asian","Merton","0.54","190"
"Asian","Middlesbrough","0.80","163"
"Asian","Milton Keynes","0.23","188"
"Asian","Newcastle upon Tyne","0.56","223"
"Asian","Newham","0.40","1,471"
"Asian","Norfolk","0.63","82"
"Asian","North East Lincolnshire","0.23","8"
"Asian","North Lincolnshire","0.53","60"
"Asian","North Somerset","0.11","27"
"Asian","North Tyneside","0.27","36"
"Asian","North Yorkshire","0.43","81"
"Asian","Northamptonshire","0.45","300"
"Asian","Northumberland","0.64","38"
"Asian","Nottingham","0.10","412"
"Asian","Nottinghamshire","0.36","169"
"Asian","Oldham","0.07","780"
"Asian","Oxfordshire","0.32","289"
"Asian","Peterborough","0.20","341"
"Asian","Plymouth","0.73","23"
"Asian","Poole","0.87","28"
"Asian","Portsmouth","0.53","86"
"Asian","Reading","0.38","186"
"Asian","Redbridge","0.43","1,470"
"Asian","Redcar and Cleveland","0.08","19"
"Asian","Richmond upon Thames","0.42","77"
"Asian","Rochdale","0.23","533"
"Asian","Rotherham","0.21","223"
"Asian","Rutland","0.53","3"
"Asian","Salford","0.75","31"
"Asian","Sandwell","0.20","879"
"Asian","Sefton","0.48","17"
"Asian","Sheffield","0.26","458"
"Asian","Shropshire","0.45","15"
"Asian","Slough","0.34","747"
"Asian","Solihull","0.26","259"
"Asian","Somerset","0.64","39"
"Asian","South Gloucestershire","0.36","61"
"Asian","South Tyneside","0.24","54"
"Asian","Southampton","0.67","163"
"Asian","Southend-on-Sea","0.46","117"
"Asian","Southwark","0.53","109"
"Asian","St. Helens","0.66","13"
"Asian","Staffordshire","0.26","234"
"Asian","Stockport","0.32","151"
"Asian","Stockton-on-Tees","0.34","96"
"Asian","Stoke-on-Trent","0.25","285"
"Asian","Suffolk","0.70","91"
"Asian","Sunderland","0.48","88"
"Asian","Surrey","0.57","527"
"Asian","Sutton","0.62","465"
"Asian","Swindon","0.48","156"
"Asian","Tameside","0.42","233"
"Asian","Telford and Wrekin","0.04","109"
"Asian","Thurrock","0.49","59"
"Asian","Torbay","0.73","12"
"Asian","Tower Hamlets","0.31","1,595"
"Asian","Trafford","0.23","301"
"Asian","Wakefield","0.48","110"
"Asian","Walsall","0.13","592"
"Asian","Waltham Forest","0.44","601"
"Asian","Wandsworth","0.49","285"
"Asian","Warrington","0.35","46"
"Asian","Warwickshire","0.48","245"
"Asian","West Berkshire","0.48","47"
"Asian","West Sussex","0.52","291"
"Asian","Westminster","0.45","179"
"Asian","Wigan","0.59","26"
"Asian","Wiltshire","0.63","57"
"Asian","Windsor and Maidenhead","0.23","176"
"Asian","Wirral","0.80","56"
"Asian","Wokingham","0.38","149"
"Asian","Wolverhampton","0.34","491"
"Asian","Worcestershire","0.51","128"
"Asian","York","1.04","9"
"Chinese","All - England","0.68","1,606"
"Chinese","Barking and Dagenham","0.18","5"
"Chinese","Barnet","0.66","40"
"Chinese","Barnsley","N/A","0"
"Chinese","Bath and North East Somerset","1.08","5"
"Chinese","Bedford","1.47","3"
"Chinese","Bexley","0.38","38"
"Chinese","Birmingham","0.81","36"
"Chinese","Blackburn with Darwen","!","!"
"Chinese","Blackpool","1.31","4"
"Chinese","Bolton","0.92","6"
"Chinese","Bournemouth","0.82","6"
"Chinese","Bracknell Forest","0.88","3"
"Chinese","Bradford","!","!"
"Chinese","Brent","0.70","8"
"Chinese","Brighton and Hove","!","!"
"Chinese","Bristol, City of","0.60","13"
"Chinese","Bromley","0.47","32"
"Chinese","Buckinghamshire","0.26","13"
"Chinese","Bury","0.07","3"
"Chinese","Calderdale","0.43","4"
"Chinese","Cambridgeshire","1.13","19"
"Chinese","Camden","0.81","7"
"Chinese","Central Bedfordshire","0.74","9"
"Chinese","Cheshire East","0.33","13"
"Chinese","Cheshire West and Chester","0.43","8"
"Chinese","City of London","N/A","N/A"
"Chinese","Cornwall","!","!"
"Chinese","County Durham","0.59","6"
"Chinese","Coventry","0.43","8"
"Chinese","Croydon","0.45","19"
"Chinese","Cumbria","0.11","8"
"Chinese","Darlington","!","!"
"Chinese","Derby","0.97","8"
"Chinese","Derbyshire","0.07","13"
"Chinese","Devon","0.98","7"
"Chinese","Doncaster","0.43","10"
"Chinese","Dorset","0.85","6"
"Chinese","Dudley","0.13","3"
"Chinese","Ealing","0.71","4"
"Chinese","East Riding of Yorkshire","!","!"
"Chinese","East Sussex","0.77","8"
"Chinese","Enfield","0.52","19"
"Chinese","Essex","0.57","45"
"Chinese","Gateshead","!","!"
"Chinese","Gloucestershire","0.93","17"
"Chinese","Greenwich","0.36","23"
"Chinese","Hackney","0.81","10"
"Chinese","Halton","N/A","0"
"Chinese","Hammersmith and Fulham","0.76","4"
