"Title","Pupil progress (‘Progress 8’)  by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Local Authority","Score","Pupils"
"Mixed","Knowsley","-0.44","20"
"Mixed","Lambeth","-0.05","216"
"Mixed","Lancashire","-0.14","258"
"Mixed","Leeds","-0.19","313"
"Mixed","Leicester","-0.52","200"
"Mixed","Leicestershire","-0.03","232"
"Mixed","Lewisham","-0.21","275"
"Mixed","Lincolnshire","0.20","123"
"Mixed","Liverpool","-0.47","187"
"Mixed","Luton","-0.25","178"
"Mixed","Manchester","-0.28","325"
"Mixed","Medway","0.04","112"
"Mixed","Merton","0.23","146"
"Mixed","Middlesbrough","0.24","48"
"Mixed","Milton Keynes","-0.12","176"
"Mixed","Newcastle upon Tyne","0.43","57"
"Mixed","Newham","-0.18","190"
"Mixed","Norfolk","0.07","158"
"Mixed","North East Lincolnshire","0.13","37"
"Mixed","North Lincolnshire","0.37","19"
"Mixed","North Somerset","0.18","63"
"Mixed","North Tyneside","0.26","32"
"Mixed","North Yorkshire","0.18","117"
"Mixed","Northamptonshire","-0.05","316"
"Mixed","Northumberland","0.24","33"
"Mixed","Nottingham","-0.49","222"
"Mixed","Nottinghamshire","-0.20","235"
"Mixed","Oldham","-0.45","83"
"Mixed","Oxfordshire","-0.05","268"
"Mixed","Peterborough","-0.01","101"
"Mixed","Plymouth","0.02","38"
"Mixed","Poole","0.25","45"
"Mixed","Portsmouth","0.41","52"
"Mixed","Reading","-0.49","95"
"Mixed","Redbridge","-0.01","219"
"Mixed","Redcar and Cleveland","0.00","20"
"Mixed","Richmond upon Thames","-0.02","124"
"Mixed","Rochdale","0.13","70"
"Mixed","Rotherham","-0.19","57"
"Mixed","Rutland","0.02","8"
"Mixed","Salford","-0.08","67"
"Mixed","Sandwell","-0.39","212"
"Mixed","Sefton","-0.07","59"
"Mixed","Sheffield","-0.12","259"
"Mixed","Shropshire","0.03","51"
"Mixed","Slough","0.09","104"
"Mixed","Solihull","-0.21","180"
"Mixed","Somerset","0.17","92"
"Mixed","South Gloucestershire","-0.14","102"
"Mixed","South Tyneside","-0.32","17"
"Mixed","Southampton","-0.09","91"
"Mixed","Southend-on-Sea","-0.12","84"
"Mixed","Southwark","0.03","245"
"Mixed","St. Helens","-0.09","15"
"Mixed","Staffordshire","-0.06","176"
"Mixed","Stockport","0.16","100"
"Mixed","Stockton-on-Tees","-0.27","22"
"Mixed","Stoke-on-Trent","0.02","69"
"Mixed","Suffolk","0.07","280"
"Mixed","Sunderland","0.09","25"
"Mixed","Surrey","0.20","443"
"Mixed","Sutton","0.15","184"
"Mixed","Swindon","-0.09","57"
"Mixed","Tameside","-0.07","68"
"Mixed","Telford and Wrekin","-0.08","66"
"Mixed","Thurrock","0.29","54"
"Mixed","Torbay","0.27","35"
"Mixed","Tower Hamlets","-0.45","120"
"Mixed","Trafford","0.05","124"
"Mixed","Wakefield","0.12","61"
"Mixed","Walsall","-0.40","153"
"Mixed","Waltham Forest","0.03","221"
"Mixed","Wandsworth","-0.04","175"
"Mixed","Warrington","-0.25","32"
"Mixed","Warwickshire","-0.01","177"
"Mixed","West Berkshire","0.14","69"
"Mixed","West Sussex","0.15","231"
"Mixed","Westminster","0.24","119"
"Mixed","Wigan","0.08","64"
"Mixed","Wiltshire","-0.06","104"
"Mixed","Windsor and Maidenhead","0.44","85"
"Mixed","Wirral","-0.14","64"
"Mixed","Wokingham","-0.12","85"
"Mixed","Wolverhampton","-0.32","218"
"Mixed","Worcestershire","0.05","165"
"Mixed","York","0.42","30"
"White","All - England","-0.09","407,271"
"White","Barking and Dagenham","-0.06","987"
"White","Barnet","0.27","1,668"
"White","Barnsley","-0.22","1,990"
"White","Bath and North East Somerset","-0.01","1,801"
"White","Bedford","0.07","1,245"
"White","Bexley","-0.17","2,134"
"White","Birmingham","-0.11","4,306"
"White","Blackburn with Darwen","-0.18","897"
"White","Blackpool","-0.40","1,233"
"White","Bolton","-0.35","2,299"
"White","Bournemouth","-0.06","1,335"
"White","Bracknell Forest","0.05","910"
"White","Bradford","-0.26","2,844"
"White","Brent","0.28","458"
"White","Brighton and Hove","-0.02","1,728"
"White","Bristol, City of","-0.26","2,228"
"White","Bromley","0.12","2,342"
"White","Buckinghamshire","0.00","3,882"
"White","Bury","-0.12","1,593"
"White","Calderdale","-0.07","1,977"
"White","Cambridgeshire","0.08","4,951"
"White","Camden","-0.10","518"
"White","Central Bedfordshire","-0.08","2,328"
"White","Cheshire East","-0.15","3,433"
"White","Cheshire West and Chester","0.03","3,149"
"White","City of London","N/A","N/A"
"White","Cornwall","0.03","5,089"
"White","County Durham","-0.12","4,793"
"White","Coventry","-0.22","2,194"
"White","Croydon","0.01","1,432"
"White","Cumbria","-0.23","4,873"
"White","Darlington","-0.39","1,054"
"White","Derby","-0.22","1,924"
"White","Derbyshire","-0.27","7,189"
"White","Devon","-0.03","6,514"
"White","Doncaster","-0.24","2,732"
"White","Dorset","-0.06","3,842"
"White","Dudley","-0.26","2,945"
"White","Ealing","0.17","755"
"White","East Riding of Yorkshire","0.09","3,175"
"White","East Sussex","0.04","4,395"
"White","Enfield","0.02","1,631"
"White","Essex","-0.02","12,763"
"White","Gateshead","-0.19","1,784"
"White","Gloucestershire","-0.05","5,530"
"White","Greenwich","-0.23","1,006"
"White","Hackney","0.39","649"
"White","Halton","-0.19","1,320"
"White","Hammersmith and Fulham","0.15","574"
"White","Hampshire","-0.05","11,770"
"White","Haringey","0.35","873"
"White","Harrow","0.19","538"
"White","Hartlepool","-0.34","1,023"
"White","Havering","-0.21","2,189"
"White","Herefordshire, County of","-0.05","1,590"
"White","Hertfordshire","0.02","9,954"
"White","Hillingdon","-0.23","1,418"
"White","Hounslow","0.18","879"
"White","Isle of Wight","-0.33","1,220"
"White","Isles of Scilly","-0.05","20"
"White","Islington","0.03","467"
"White","Kensington and Chelsea","0.31","275"
"White","Kent","-0.08","13,351"
"White","Kingston upon Hull, City of","0.05","1,974"
"White","Kingston upon Thames","0.23","836"
"White","Kirklees","-0.19","2,963"
"White","Knowsley","-0.91","1,086"
"White","Lambeth","0.20","436"
"White","Lancashire","-0.14","10,294"
"White","Leeds","-0.09","5,544"
"White","Leicester","-0.55","1,084"
"White","Leicestershire","-0.19","5,998"
"White","Lewisham","-0.21","638"
"White","Lincolnshire","-0.12","7,166"
"White","Liverpool","-0.38","3,788"
"White","Luton","-0.23","886"
"White","Manchester","-0.32","2,216"
"White","Medway","-0.01","2,444"
"White","Merton","0.21","669"
"White","Middlesbrough","-0.22","1,141"
"White","Milton Keynes","-0.23","1,926"
"White","Newcastle upon Tyne","-0.19","1,872"
"White","Newham","-0.07","471"
"White","Norfolk","0.00","7,310"
"White","North East Lincolnshire","-0.08","1,463"
"White","North Lincolnshire","0.06","1,718"
"White","North Somerset","-0.13","1,980"
"White","North Tyneside","-0.06","1,780"
"White","North Yorkshire","0.03","5,686"
"White","Northamptonshire","-0.18","6,392"
"White","Northumberland","-0.16","3,041"
"White","Nottingham","-0.52","1,469"
"White","Nottinghamshire","-0.04","7,105"
"White","Oldham","-0.49","1,860"
"White","Oxfordshire","-0.02","4,937"
"White","Peterborough","-0.10","1,556"
"White","Plymouth","-0.16","2,439"
"White","Poole","0.01","1,288"
"White","Portsmouth","-0.26","1,468"
"White","Reading","-0.25","657"
"White","Redbridge","0.14","835"
"White","Redcar and Cleveland","-0.31","1,561"
"White","Richmond upon Thames","0.08","967"
"White","Rochdale","-0.22","1,577"
"White","Rotherham","0.02","2,922"
"White","Rutland","0.29","451"
"White","Salford","-0.37","1,763"
"White","Sandwell","-0.52","1,936"
"White","Sefton","-0.21","2,850"
"White","Sheffield","-0.05","3,891"
"White","Shropshire","-0.05","2,719"
"White","Slough","-0.05","459"
"White","Solihull","-0.12","2,339"
"White","Somerset","0.02","4,769"
"White","South Gloucestershire","-0.25","2,479"
"White","South Tyneside","-0.17","1,408"
"White","Southampton","-0.23","1,520"
"White","Southend-on-Sea","-0.07","1,575"
"White","Southwark","-0.01","653"
"White","St. Helens","-0.33","1,652"
"White","Staffordshire","-0.11","8,045"
"White","Stockport","-0.01","2,426"
"White","Stockton-on-Tees","-0.20","1,815"
"White","Stoke-on-Trent","-0.15","1,756"
"White","Suffolk","0.00","6,243"
"White","Sunderland","-0.20","2,629"
"White","Surrey","0.10","8,582"
"White","Sutton","0.00","1,563"
"White","Swindon","-0.24","1,712"
"White","Tameside","-0.22","2,054"
"White","Telford and Wrekin","-0.17","1,704"
"White","Thurrock","-0.11","1,358"
"White","Torbay","-0.02","1,288"
"White","Tower Hamlets","-0.43","288"
"White","Trafford","0.01","1,989"
"White","Wakefield","0.04","3,321"
"White","Walsall","-0.36","2,266"
"White","Waltham Forest","0.21","838"
"White","Wandsworth","0.10","512"
"White","Warrington","-0.18","2,176"
"White","Warwickshire","-0.01","4,857"
"White","West Berkshire","0.10","1,651"
"White","West Sussex","0.08","7,050"
"White","Westminster","0.30","450"
"White","Wigan","-0.10","3,226"
"White","Wiltshire","0.00","4,362"
"White","Windsor and Maidenhead","0.13","1,038"
"White","Wirral","-0.06","3,108"
"White","Wokingham","0.18","1,180"
"White","Wolverhampton","-0.29","1,399"
"White","Worcestershire","0.03","5,055"
"White","York","0.03","1,457"
