"Title","Pupil progress (‘Progress 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All pupils","","","Asian","","","Chinese","","","Black","","","Mixed","","","White","",""
"Local Authority","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"Derbyshire","-0.27","-0.41","-0.13","-0.04","-0.25","0.24","0.07","0.02","0.20","0.13","!","!","-0.29","-0.45","-0.14","-0.27","-0.41","-0.13"
"Devon","-0.02","-0.15","0.12","0.56","0.22","0.97","0.98","0.55","1.29","0.82","0.50","1.14","0.06","-0.06","0.21","-0.03","-0.16","0.11"
"Doncaster","-0.21","-0.35","-0.07","0.25","0.27","0.24","0.43","0.10","0.57","-0.13","-0.22","-0.04","-0.04","-0.27","0.17","-0.24","-0.37","-0.09"
"Dorset","-0.04","-0.15","0.06","0.43","0.24","0.64","0.85","!","!","0.83","!","!","-0.07","-0.02","-0.15","-0.06","-0.16","0.05"
"Dudley","-0.22","-0.37","-0.06","0.10","-0.15","0.38","0.13","!","!","0.04","-0.15","0.21","-0.36","-0.40","-0.31","-0.26","-0.40","-0.10"
"Ealing","0.28","0.13","0.44","0.42","0.37","0.47","0.71","N/A","0.71","0.17","-0.06","0.36","0.11","-0.14","0.31","0.17","-0.01","0.37"
"East Riding of Yorkshire","0.10","-0.03","0.23","0.19","!","!","!","!","N/A","!","!","!","0.09","-0.09","0.33","0.09","-0.03","0.22"
"East Sussex","0.04","-0.10","0.19","0.90","0.70","1.19","0.77","!","!","0.68","-0.26","1.21","0.11","-0.06","0.29","0.04","-0.09","0.16"
"Enfield","0.05","-0.12","0.23","0.30","0.11","0.51","0.52","0.30","0.71","0.10","-0.11","0.31","-0.13","-0.34","0.13","0.02","-0.13","0.18"
"Essex","0.00","-0.12","0.12","0.49","0.44","0.55","0.57","0.53","0.61","0.40","0.24","0.53","0.05","-0.06","0.16","-0.02","-0.14","0.10"
"Gateshead","-0.15","-0.20","-0.09","0.85","0.76","0.99","!","!","!","1.24","0.46","1.80","0.27","0.44","0.08","-0.19","-0.24","-0.13"
"Gloucestershire","-0.05","-0.17","0.09","0.49","0.31","0.72","0.93","0.60","1.06","-0.29","-0.57","0.05","-0.25","-0.55","0.05","-0.05","-0.17","0.08"
"Greenwich","-0.01","-0.10","0.08","0.66","0.55","0.77","0.36","0.13","0.66","0.21","0.09","0.33","-0.11","-0.22","-0.02","-0.23","-0.33","-0.13"
"Hackney","0.35","0.23","0.45","0.45","0.37","0.52","0.81","0.51","1.25","0.25","0.12","0.36","0.27","0.19","0.32","0.39","0.24","0.50"
"Halton","-0.19","-0.30","-0.07","!","!","N/A","N/A","N/A","N/A","!","!","!","-0.01","-0.10","0.10","-0.19","-0.31","-0.08"
"Hammersmith and Fulham","0.12","-0.02","0.26","0.23","0.18","0.31","0.76","N/A","0.76","0.01","-0.11","0.12","-0.03","-0.27","0.26","0.15","0.05","0.24"
"Hampshire","-0.03","-0.18","0.13","0.55","0.38","0.75","0.64","0.57","0.83","0.27","0.15","0.41","-0.09","-0.34","0.20","-0.05","-0.20","0.11"
"Haringey","0.28","0.18","0.37","0.39","0.37","0.41","0.82","!","!","0.13","-0.07","0.33","0.18","0.09","0.26","0.35","0.30","0.40"
"Harrow","0.32","0.11","0.52","0.46","0.28","0.67","0.28","-0.85","1.19","0.24","0.03","0.42","0.10","-0.14","0.30","0.19","-0.03","0.40"
"Hartlepool","-0.33","-0.49","-0.18","0.30","0.00","0.61","!","!","N/A","!","!","!","-0.12","!","!","-0.34","-0.51","-0.19"
"Havering","-0.14","-0.28","0.00","0.40","0.26","0.52","0.29","0.18","0.56","0.13","-0.19","0.46","-0.14","-0.23","-0.05","-0.21","-0.32","-0.10"
"Herefordshire, County of","-0.03","-0.22","0.19","0.77","!","!","1.60","!","!","-0.15","!","!","0.91","0.51","1.48","-0.05","-0.23","0.17"
"Hertfordshire","0.06","-0.09","0.22","0.44","0.27","0.62","0.74","0.82","0.65","0.28","0.12","0.42","0.02","-0.14","0.19","0.02","-0.13","0.18"
"Hillingdon","0.06","-0.05","0.19","0.43","0.28","0.60","0.73","1.17","0.47","0.17","-0.05","0.44","0.10","0.02","0.18","-0.23","-0.30","-0.15"
"Hounslow","0.29","0.15","0.43","0.62","0.53","0.72","0.91","!","!","0.30","0.08","0.58","0.31","0.20","0.40","0.18","0.11","0.25"
