"Breakdown","Ethnicity","Score","Pupils"
"Non-FSM Boys","All","-0.10","225,292"
"Non-FSM Boys","Asian","0.22","19,520"
"Non-FSM Boys","Bangladeshi","0.21","2,745"
"Non-FSM Boys","Indian","0.37","6,003"
"Non-FSM Boys","Pakistani","0.03","7,564"
"Non-FSM Boys","Asian other","0.38","3,208"
"Non-FSM Boys","Black","0.04","9,101"
"Non-FSM Boys","Black African","0.20","5,506"
"Non-FSM Boys","Black Caribbean","-0.28","2,550"
"Non-FSM Boys","Black other","-0.03","1,045"
"Non-FSM Boys","Chinese","0.57","755"
"Non-FSM Boys","Mixed","-0.09","8,732"
"Non-FSM Boys","Mixed White/Asian","0.06","2,022"
"Non-FSM Boys","Mixed White/Black African","-0.04","974"
"Non-FSM Boys","Mixed White/Black Caribbean","-0.34","2,738"
"Non-FSM Boys","Mixed other","0.01","2,998"
"Non-FSM Boys","White","-0.15","182,716"
"Non-FSM Boys","White British","-0.17","174,099"
"Non-FSM Boys","White Irish","-0.01","705"
"Non-FSM Boys","White Irish Traveller","-1.21","24"
"Non-FSM Boys","White Gypsy/Roma","-0.62","206"
"Non-FSM Boys","White other","0.32","7,682"
"Non-FSM Boys","Other","0.41","2,400"
"Non-FSM Boys","Unknown","-0.35","2,068"
"Non-FSM Girls","All","0.18","217,702"
"Non-FSM Girls","Asian","0.50","18,480"
"Non-FSM Girls","Bangladeshi","0.52","2,701"
"Non-FSM Girls","Indian","0.61","5,566"
"Non-FSM Girls","Pakistani","0.34","7,219"
"Non-FSM Girls","Asian other","0.65","2,994"
"Non-FSM Girls","Black","0.38","9,352"
"Non-FSM Girls","Black African","0.53","5,619"
"Non-FSM Girls","Black Caribbean","0.10","2,642"
"Non-FSM Girls","Black other","0.34","1,091"
"Non-FSM Girls","Chinese","0.80","733"
"Non-FSM Girls","Mixed","0.20","8,559"
"Non-FSM Girls","Mixed White/Asian","0.29","2,003"
"Non-FSM Girls","Mixed White/Black African","0.26","966"
"Non-FSM Girls","Mixed White/Black Caribbean","0.01","2,687"
"Non-FSM Girls","Mixed other","0.28","2,903"
"Non-FSM Girls","White","0.13","176,333"
"Non-FSM Girls","White British","0.10","167,780"
"Non-FSM Girls","White Irish","0.30","741"
"Non-FSM Girls","White Irish Traveller","-0.59","23"
"Non-FSM Girls","White Gypsy/Roma","-0.60","233"
"Non-FSM Girls","White other","0.62","7,556"
"Non-FSM Girls","Other","0.66","2,279"
"Non-FSM Girls","Unknown","-0.13","1,966"
"FSM Boys","All","-0.61","35,212"
"FSM Boys","Asian","-0.06","4,375"
"FSM Boys","Bangladeshi","0.12","1,209"
"FSM Boys","Indian","0.10","519"
"FSM Boys","Pakistani","-0.22","2,238"
"FSM Boys","Asian other","0.12","409"
"FSM Boys","Black","-0.17","2,955"
"FSM Boys","Black African","0.06","1,801"
"FSM Boys","Black Caribbean","-0.57","803"
"FSM Boys","Black other","-0.40","351"
"FSM Boys","Chinese","0.47","61"
"FSM Boys","Mixed","-0.59","2,013"
"FSM Boys","Mixed White/Asian","-0.50","345"
"FSM Boys","Mixed White/Black African","-0.50","258"
"FSM Boys","Mixed White/Black Caribbean","-0.77","801"
"FSM Boys","Mixed other","-0.44","609"
"FSM Boys","White","-0.80","24,497"
"FSM Boys","White British","-0.83","23,174"
"FSM Boys","White Irish","-0.56","95"
"FSM Boys","White Irish Traveller","-1.40","37"
"FSM Boys","White Gypsy/Roma","-0.97","119"
"FSM Boys","White other","-0.09","1,072"
"FSM Boys","Other","0.19","845"
"FSM Boys","Unknown","-0.81","466"
"FSM Girls","All","-0.30","33,878"
"FSM Girls","Asian","0.28","4,019"
"FSM Girls","Bangladeshi","0.39","1,145"
"FSM Girls","Indian","0.40","476"
"FSM Girls","Pakistani","0.16","2,011"
"FSM Girls","Asian other","0.46","387"
"FSM Girls","Black","0.25","2,857"
"FSM Girls","Black African","0.45","1,732"
"FSM Girls","Black Caribbean","-0.12","813"
"FSM Girls","Black other","0.15","312"
"FSM Girls","Chinese","0.82","57"
"FSM Girls","Mixed","-0.29","2,007"
"FSM Girls","Mixed White/Asian","-0.21","347"
"FSM Girls","Mixed White/Black African","0.02","225"
"FSM Girls","Mixed White/Black Caribbean","-0.43","792"
"FSM Girls","Mixed other","-0.26","643"
"FSM Girls","White","-0.49","23,725"
"FSM Girls","White British","-0.52","22,457"
"FSM Girls","White Irish","-0.52","88"
"FSM Girls","White Irish Traveller","-1.26","30"
"FSM Girls","White Gypsy/Roma","-0.69","131"
"FSM Girls","White other","0.25","1,019"
"FSM Girls","Other","0.43","783"
"FSM Girls","Unknown","-0.54","430"
