"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"Civic activism","2016-17","Year","All","5+1","England","7.8","10,256"
"Civic activism","2016-17","Year","Asian","5+1","England","7.7","1,111"
"Civic activism","2016-17","Year","Black","5+1","England","11.6","360"
"Civic activism","2016-17","Year","Mixed","5+1","England","6.5","467"
"Civic activism","2016-17","Year","Other","5+1","England","5.0","163"
"Civic activism","2016-17","Year","White","5+1","England","7.7","8,022"
