"Ethnicity","Year","Male","Female","Not known"
"Asian","2009","20","16","3"
"Asian","2010","20","15","1"
"Asian","2011","22","18","6"
"Asian","2012","23","15","0"
"Asian","2013","23","14","3"
"Asian","2014","25","19","1"
"Asian","2015","25","19","2"
"Asian","2016","25","14","2"
"Asian","2017","27","18","2"
"Black","2009","21","14","2"
"Black","2010","22","14","2"
"Black","2011","23","16","1"
"Black","2012","24","16","2"
"Black","2013","25","14","5"
"Black","2014","25","14","3"
"Black","2015","26","15","4"
"Black","2016","25","14","4"
"Black","2017","26","14","3"
"Mixed","2009","17","8","5"
"Mixed","2010","18","11","0"
"Mixed","2011","18","14","4"
"Mixed","2012","20","14","1"
"Mixed","2013","20","10","3"
"Mixed","2014","21","9","1"
"Mixed","2015","21","12","2"
"Mixed","2016","22","10","2"
"Mixed","2017","23","10","1"
"White","2009","15","9","2"
"White","2010","15","9","2"
"White","2011","16","10","2"
"White","2012","16","10","2"
"White","2013","18","10","2"
"White","2014","18","10","2"
"White","2015","19","10","2"
"White","2016","19","10","2"
"White","2017","19","11","3"
"Other inc Chinese","2009","17","12","1"
"Other inc Chinese","2010","17","13","3"
"Other inc Chinese","2011","18","12","0"
"Other inc Chinese","2012","18","12","3"
"Other inc Chinese","2013","19","9","2"
"Other inc Chinese","2014","19","17","3"
"Other inc Chinese","2015","22","14","3"
"Other inc Chinese","2016","24","12","0"
"Other inc Chinese","2017","21","16","0"
