"Title","People claiming Jobseeker's Allowance by ethnicity and area"
"Location","England and Wales"
"Time period","2015"
"Data source","Official Labour Market Statistics (NOMIS)"
"Data source link","https://www.nomisweb.co.uk/home/news.asp?cat=24"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","November 2008"

"","All","East","East Midlands","London","North East","North West","South East","South West","Wales","West Midlands","Yorkshire and The Humber"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%"
"White","1.5","1.2","1.5","1.2","2.7","1.4","1.0","1.0","2.2","1.7","2.2"
"Other","2.3","1.4","2.0","2.4","2.5","2.1","1.1","1.5","2.2","3.4","3.1"
