"Gender","Ethnicity",""
"All","Asian","8.9"
"All","Black","13.0"
"All","Mixed other","7.2"
"All","White British","10.2"
"All","White other","6.7"
"Men","Asian","7.9"
"Men","Black","4.8"
"Men","Mixed other","6.5"
"Men","White British","11.0"
"Men","White other","3.3"
"Women","Asian","10.2"
"Women","Black","19.3"
"Women","Mixed other","7.9"
"Women","White British","9.4"
"Women","White other","9.7"
