"Ethnicity","%","Headcount"
"Asian","9.3","107,531"
"Black","5.7","65,956"
"Chinese","0.5","6,303"
"Mixed","1.6","18,614"
"White","80.7","928,146"
"Other","2.1","23,746"
"Unknown","N/A","53,251"
