"Ethnicity","Main_Mode_of_Transport","%","Miles"
"All","Bicycle","1","54"
"All","Bus in London","1","77"
"All","Car / van driver","50","3,268"
"All","Car / van passenger","28","1,833"
"All","London Underground","1","93"
"All","Motorcycle ","0","32"
"All","Non-local bus","1","50"
"All","Other local bus","3","192"
"All","Other private transport","2","104"
"All","Other public transport","1","48"
"All","Surface Rail","9","560"
"All","Taxi / minicab","1","56"
"All","Walk","3","196"
"Asian","Bicycle","0","14"
"Asian","Bus in London","4","196"
"Asian","Car / van driver","41","1,912"
"Asian","Car / van passenger","29","1,324"
"Asian","London Underground","4","205"
"Asian","Motorcycle ","?","?"
"Asian","Non-local bus","?","?"
"Asian","Other local bus","2","105"
"Asian","Other private transport","1","44"
"Asian","Other public transport","1","29"
"Asian","Surface Rail","11","526"
"Asian","Taxi / minicab","1","43"
"Asian","Walk","4","182"
"Black","Bicycle","1","24"
"Black","Bus in London","12","520"
"Black","Car / van driver","33","1,389"
"Black","Car / van passenger","21","869"
"Black","London Underground","5","201"
"Black","Motorcycle ","?","?"
"Black","Non-local bus","?","?"
"Black","Other local bus","5","209"
"Black","Other private transport","?","?"
"Black","Other public transport","1","49"
"Black","Surface Rail","14","588"
"Black","Taxi / minicab","1","60"
"Black","Walk","5","194"
"Mixed","Bicycle","1","36"
"Mixed","Bus in London","3","157"
"Mixed","Car / van driver","32","1,654"
"Mixed","Car / van passenger","34","1,766"
"Mixed","London Underground","2","117"
"Mixed","Motorcycle ","?","?"
"Mixed","Non-local bus","?","?"
"Mixed","Other local bus","4","229"
"Mixed","Other private transport","?","?"
"Mixed","Other public transport","?","?"
"Mixed","Surface Rail","11","575"
"Mixed","Taxi / minicab","?","?"
"Mixed","Walk","5","243"
"White","Bicycle","1","60"
"White","Bus in London","1","45"
"White","Car / van driver","51","3,508"
"White","Car / van passenger","28","1,925"
"White","London Underground","1","77"
"White","Motorcycle ","1","36"
"White","Non-local bus","1","50"
"White","Other local bus","3","199"
"White","Other private transport","2","112"
"White","Other public transport","1","50"
"White","Surface Rail","8","564"
"White","Taxi / minicab","1","57"
"White","Walk","3","196"
"Other","Bicycle","?","?"
"Other","Bus in London","8","338"
"Other","Car / van driver","40","1,708"
"Other","Car / van passenger","26","1,124"
"Other","London Underground","4","182"
"Other","Motorcycle ","?","?"
"Other","Non-local bus","?","?"
"Other","Other local bus","4","157"
"Other","Other private transport","?","?"
"Other","Other public transport","?","?"
"Other","Surface Rail","9","369"
"Other","Taxi / minicab","?","?"
"Other","Walk","5","212"
