"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","70","1717","1485","1283","1189"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","186","4578","3808","1283","1189"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","261","6418","5976","1283","1189"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","16","398","316","1283","1189"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","62","1520","1283","1283","1189"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","21","518","417","1283","1189"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","259","6382","5993","1283","1189"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","840","15800","13526","980","878"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","23","427","316","980","878"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","91","1713","1517","980","878"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","220","4133","3558","980","878"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","152","2857","2541","980","878"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","37","704","552","980","878"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","37","690","559","980","878"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","25","465","359","980","878"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","237","4456","3837","980","878"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","1038","1509197","1425532","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","17","24930","22778","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","12","17431","14230","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","443","644453","599778","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","232","337649","322657","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","8","11058","8217","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","5690","4912","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","1145","1139","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","44","64406","59659","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","8","12111","11859","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","3","3700","3274","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","17","24049","20817","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","11","15946","14360","75834","75156"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","238","346631","341852","75834","75156"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","1006","1647562","1550806","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","16","26395","23834","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","20","32602","27592","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","416","680625","632871","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","225","368127","350990","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","10","15960","12179","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","4","5763","4956","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","1","1223","1176","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","44","72800","66712","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","8","13247","12783","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","3","4319","3790","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","17","28168","24573","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","10","17163","15366","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","233","381169","373984","85373","84121"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","846","78592","68229","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","6","512","407","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","52","4805","3912","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","264","24506","20943","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","195","18126","16167","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","24","2184","1607","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","33","3091","2452","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","5","473","344","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","19","1810","1448","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","6","603","521","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","237","22034","20104","4844","4383"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","817","33263","29753","2122","1990"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","151","6164","5557","2122","1990"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","221","9003","7846","2122","1990"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","120","4886","4451","2122","1990"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","25","1024","872","2122","1990"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","55","2237","1890","2122","1990"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","30","1232","1037","2122","1990"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","187","7602","7142","2122","1990"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","915","23436","21226","1336","1256"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","15","379","303","1336","1256"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","65","1664","1426","1336","1256"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","184","4710","3969","1336","1256"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","262","6700","6306","1336","1256"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","17","438","357","1336","1256"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","60","1543","1332","1336","1256"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","20","520","438","1336","1256"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","271","6938","6624","1336","1256"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","838","16129","13664","1004","888"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","89","1714","1409","1004","888"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","197","3798","3270","1004","888"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","136","2610","2423","1004","888"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","50","964","706","1004","888"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","42","805","644","1004","888"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","28","535","421","1004","888"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","259","4977","4218","1004","888"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","1026","1494945","1416697","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","17","24830","22595","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","13","18225","15266","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","438","638125","596354","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","230","335517","321341","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","8","11324","8621","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","5578","4821","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","1084","1057","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","45","65103","60374","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","8","12353","12052","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","3","3681","3292","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","16","24030","21185","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","11","15730","14134","76000","75534"
"Average trips per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","233","339363","335605","76000","75534"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","989","1605808","1519022","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","16","26204","23651","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","21","34126","29714","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","409","664126","621114","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","220","357837","343471","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","10","16019","12617","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","3","5391","4649","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","1","1128","1083","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","44","71996","65894","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","8","12721","12462","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","2","4034","3552","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","18","29001","25526","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","10","16394","14738","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","226","366832","360551","84634","83718"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","836","81112","70880","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","6","542","448","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","55","5375","4567","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","263","25565","21894","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","191","18583","16692","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","23","2272","1741","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","33","3204","2524","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","5","534","412","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","22","2170","1772","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","7","639","551","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","225","21867","20001","5060","4625"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","809","35406","32256","2283","2167"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","162","7109","6465","2283","2167"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","206","9029","7965","2283","2167"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","121","5278","4877","2283","2167"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","27","1185","1010","2283","2167"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","49","2157","1890","2283","2167"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","30","1303","1141","2283","2167"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","8","366","309","2283","2167"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","187","8175","7907","2283","2167"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","903","23939","21740","1382","1307"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","66","1737","1530","1382","1307"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","179","4740","3996","1382","1307"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","252","6688","6375","1382","1307"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","16","415","338","1382","1307"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","57","1504","1261","1382","1307"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","23","611","512","1382","1307"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","275","7287","6907","1382","1307"
"Average trips per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","840","16001","13781","993","895"
