"","All","","Asian","","Black","","Mixed","","White","","Other",""
"","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips"
"Business","3","31","2","17","3","26","2","20","3","32","4","30"
"Commuting","15","145","20","158","18","137","12","106","15","145","18","144"
"Education","12","118","20","164","22","174","23","207","11","109","20","161"
"Leisure","26","245","18","142","17","132","25","217","27","260","18","144"
"Other escort","9","86","9","69","8","64","11","99","9","88","9","71"
"Other including just walk","5","49","3","25","2","14","5","42","5","53","4","29"
"Personal business","10","92","11","91","14","110","9","78","10","93","9","68"
"Shopping","19","183","17","136","15","120","13","114","20","191","19","150"
