"Ethnicity","Mode of Transport","%","Trips"
"All","Bicycle","2","16"
"All","Bus in London","2","19"
"All","Car / van driver","41","385"
"All","Car / van passenger","22","205"
"All","London Underground","1","10"
"All","Motorcycle ","0","3"
"All","Non-local bus","0","1"
"All","Other local bus","4","39"
"All","Other private transport","1","6"
"All","Other public transport","0","3"
"All","Surface Rail","2","21"
"All","Taxi / minicab","1","10"
"All","Walk","24","232"
"Asian","Bicycle","1","6"
"Asian","Bus in London","6","47"
"Asian","Car / van driver","31","252"
"Asian","Car / van passenger","22","174"
"Asian","London Underground","2","20"
"Asian","Motorcycle ","?","?"
"Asian","Non-local bus","?","?"
"Asian","Other local bus","3","23"
"Asian","Other private transport","0","3"
"Asian","Other public transport","0","4"
"Asian","Surface Rail","3","25"
"Asian","Taxi / minicab","1","8"
"Asian","Walk","30","237"
"Black","Bicycle","1","7"
"Black","Bus in London","15","118"
"Black","Car / van driver","24","189"
"Black","Car / van passenger","16","122"
"Black","London Underground","3","22"
"Black","Motorcycle ","?","?"
"Black","Non-local bus","?","?"
"Black","Other local bus","6","47"
"Black","Other private transport","?","?"
"Black","Other public transport","1","7"
"Black","Surface Rail","4","35"
"Black","Taxi / minicab","1","10"
"Black","Walk","28","215"
"Mixed","Bicycle","?","?"
"Mixed","Bus in London","5","44"
"Mixed","Car / van driver","20","180"
"Mixed","Car / van passenger","27","236"
"Mixed","London Underground","?","?"
"Mixed","Motorcycle ","?","?"
"Mixed","Non-local bus","?","?"
"Mixed","Other local bus","6","53"
"Mixed","Other private transport","?","?"
"Mixed","Other public transport","?","?"
"Mixed","Surface Rail","3","27"
"Mixed","Taxi / minicab","?","?"
"Mixed","Walk","33","292"
"White","Bicycle","2","17"
"White","Bus in London","1","11"
"White","Car / van driver","42","410"
"White","Car / van passenger","22","211"
"White","London Underground","1","8"
"White","Motorcycle ","0","3"
"White","Non-local bus","0","1"
"White","Other local bus","4","40"
"White","Other private transport","1","7"
"White","Other public transport","0","3"
"White","Surface Rail","2","19"
"White","Taxi / minicab","1","10"
"White","Walk","24","230"
"Other","Bicycle","?","?"
"Other","Bus in London","11","87"
"Other","Car / van driver","28","219"
"Other","Car / van passenger","16","131"
"Other","London Underground","?","?"
"Other","Motorcycle ","?","?"
"Other","Non-local bus","?","?"
"Other","Other local bus","4","35"
"Other","Other private transport","?","?"
"Other","Other public transport","?","?"
"Other","Surface Rail","4","28"
"Other","Taxi / minicab","?","?"
"Other","Walk","31","243"
