"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","7141","1655375","1551557","82950","81145","11360966","10590311"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Business","702","56102","53416","82950","81145","1117604","1065118"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Commuting","1412","260177","230110","82950","81145","2246812","1992119"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","315","180151","178532","82950","81145","501424","480379"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2814","432335","414330","82950","81145","4476653","4300082"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other escort","485","153646","143416","82950","81145","770914","711234"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","43","63555","64437","82950","81145","68953","69041"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Personal business","488","172381","161804","82950","81145","776385","713755"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Shopping","881","337029","305512","82950","81145","1402220","1258582"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Purposes","4558","69028","58923","4229","3711","369733","307282"
