"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Barking and Dagenham","71","79","77","83","77","86","!","!","71","84","66","72"
"Barnet","74","80","79","85","70","80","76","90","74","79","76","80"
"Barnsley","65","76","!","!","!","!","!","!","83","79","65","76"
"Bath and North East Somerset","70","78","77","69","!","!","!","!","67","76","71","78"
"Bedford","68","76","64","77","66","84","!","100","63","75","70","75"
"Bexley","79","83","88","93","89","89","100","!","79","86","75","81"
"Birmingham","65","74","67","76","67","75","75","92","64","77","64","74"
"Blackburn with Darwen","70","79","69","81","!","!","!","!","65","71","72","79"
"Blackpool","70","78","64","65","!","!","!","!","!","!","70","78"
"Bolton","67","76","72","79","62","65","!","!","69","75","67","77"
"Bournemouth","70","75","65","73","!","!","!","!","70","81","70","75"
"Bracknell Forest","74","80","!","!","74","77","!","100","87","86","72","79"
"Bradford","65","74","67","76","54","76","!","!","64","77","65","73"
"Brent","72","77","77","81","72","77","!","!","78","87","72","74"
"Brighton and Hove","71","78","79","73","60","79","!","!","76","77","72","79"
"Bristol, City of","67","76","65","71","58","70","!","100","64","72","69","78"
"Bromley","76","84","88","92","81","91","!","!","77","88","75","82"
"Buckinghamshire","73","80","70","74","76","84","!","!","76","81","74","81"
"Bury","68","77","72","76","60","67","100","100","45","81","68","78"
"Calderdale","62","71","53","64","!","!","!","!","61","78","63","73"
"Cambridgeshire","69","77","71","75","69","74","85","80","71","85","69","77"
"Camden","71","79","66","78","69","77","!","!","75","76","75","81"
"Central Bedfordshire","73","81","77","93","82","89","!","!","68","80","73","81"
"Cheshire East","70","80","79","65","!","!","!","!","76","80","70","80"
"Cheshire West and Chester","70","78","63","87","!","!","!","100","80","91","70","78"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","69","78","!","!","!","!","!","!","73","83","69","78"
"County Durham","71","80","!","!","!","!","60","100","73","82","71","80"
"Coventry","65","74","72","83","65","79","!","!","65","77","64","70"
"Croydon","73","80","79","90","70","78","!","100","71","81","72","77"
"Cumbria","64","75","80","81","!","!","100","!","52","81","65","75"
"Darlington","71","79","65","76","!","100","!","!","!","!","71","79"
"Derby","61","70","69","76","62","79","!","!","61","77","60","68"
"Derbyshire","70","79","83","83","!","!","!","!","70","86","70","79"
"Devon","67","78","74","81","!","!","100","!","75","71","67","79"
"Doncaster","65","75","64","73","65","79","69","50","65","81","66","75"
"Dorset","68","77","70","80","100","50","!","!","68","88","68","77"
"Dudley","69","80","70","79","77","92","!","100","76","88","68","80"
"Ealing","68","75","67","77","64","71","100","100","73","83","71","78"
"East Riding of Yorkshire","70","81","!","!","!","!","!","!","80","86","70","81"
"East Sussex","71","80","79","83","53","100","!","!","70","81","72","80"
"Enfield","69","77","83","88","67","80","77","77","75","84","67","74"
"Essex","72","82","81","87","73","88","80","88","73","83","72","82"
"Gateshead","73","81","73","76","!","!","!","!","79","67","72","82"
"Gloucestershire","70","76","67","82","67","67","!","!","70","73","70","76"
"Greenwich","77","85","86","92","82","88","81","85","76","85","72","81"
"Hackney","77","85","85","85","75","85","!","!","84","89","78","85"
"Halton","61","72","!","!","!","!","!","!","79","67","61","72"
"Hammersmith and Fulham","75","81","81","85","72","79","!","!","72","80","78","83"
"Hampshire","77","84","81","82","78","89","77","85","78","85","77","84"
"Haringey","74","81","78","87","72","85","!","!","80","84","74","79"
