"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","60","77"
"Asian","67","77"
"Bangladeshi","71","76"
"Indian","73","83"
"Pakistani","65","72"
"Asian other","67","79"
"Black","70","78"
"Black African","71","79"
"Black Caribbean","67","75"
"Black other","67","75"
"Chinese","75","80"
"Mixed","65","79"
"Mixed White/Asian","66","84"
"Mixed White/Black African","68","80"
"Mixed White/Black Caribbean","63","75"
"Mixed other","67","79"
"White","56","77"
"White British","57","78"
"White Irish","57","81"
"White Irish Traveller","32","32"
"White Gypsy/Roma","28","25"
"White other","57","68"
"Other","63","69"
