"Ethnicity","Socio-economic group","%","Homeowners","All households"
"White British","Higher managerial, administrative and professional occupations","82","6,225,042","7,635,539"
"White British","Intermediate occupations","71","2,752,630","3,857,408"
"White British","Routine and manual occupations","52","3,259,537","6,260,530"
"Other","Higher managerial, administrative and professional occupations","55","771,276","1,400,849"
"Other","Intermediate occupations","46","321,335","702,682"
"Other","Routine and manual occupations","28","372,500  ","1,311,313"
