"","White British","","","Other","",""
"Socio-economic group","%","Homeowners","All households","%","Homeowners","All households"
"Higher managerial, administrative and professional occupations","82","6,225,042","7,635,539","55","771,276","1,400,849"
"Intermediate occupations","71","2,752,630","3,857,408","46","321,335","702,682"
"Routine and manual occupations","52","3,259,537","6,260,530","28","372,500  ","1,311,313"
